Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
0.03 0.57 -2.06 0.30 11.01 -0.15 -0.25 -0.02 541
0.02 0.60 -0.57 0.07 10.04 -0.03 -0.13 -0.08 548
0.01 0.58 1.93 -0.39 9.86 0.08 -0.09 0.01 555
0.02 0.56 2.12 -0.06 9.92 0.12 -0.07 0.13 561
0.02 0.52 2.30 -0.07 9.77 0.10 -0.11 0.25 567
0.02 0.50 1.83 -0.26 9.97 0.03 -0.12 0.33 573
0.02 0.48 -0.07 -1.86 10.32 -0.01 -0.12 0.31 579
0.04 0.51 0.19 -1.30 8.33 -0.03 -0.07 0.23 585
0.05 0.54 -0.35 -1.46 9.71 -0.03 -0.03 0.17 591
0.06 0.55 -0.26 -1.55 10.16 -0.05 0.00 0.13 598
0.04 0.62 0.26 -1.03 9.96 -0.08 0.02 0.10 604
0.06 0.69 0.58 -0.91 10.00 -0.10 0.03 0.09 611
0.08 0.75 0.70 -0.80 10.10 -0.10 0.02 0.07 617
0.07 0.77 0.53 -0.70 10.17 -0.09 -0.00 0.07 623
0.06 0.83 0.67 -0.65 10.15 -0.07 0.00 0.07 629
0.09 0.84 0.63 -0.65 9.96 -0.05 0.02 0.07 635
0.07 0.82 0.65 -0.77 10.10 -0.04 0.02 0.07 642
0.07 0.84 0.40 -0.53 10.23 -0.04 0.02 0.07 648
0.10 0.85 0.65 -0.71 10.01 -0.04 0.03 0.08 654
0.09 0.91 0.59 -0.76 10.16 -0.03 0.02 0.04 661
0.09 0.90 0.70 -0.78 10.18 -0.03 0.03 0.06 667
0.11 0.88 0.69 -0.77 10.02 -0.02 0.03 0.06 673
0.15 0.88 0.67 -0.74 10.12 -0.02 0.03 0.06 679
0.17 0.82 0.65 -0.73 9.98 -0.01 0.03 0.06 686
0.17 0.83 0.77 -0.69 10.06 -0.01 0.04 0.06 692
0.18 0.80 0.70 -0.73 9.96 -0.01 0.04 0.06 698
0.18 0.82 0.80 -0.75 9.94 -0.00 0.04 0.05 704
0.15 0.83 0.78 -0.77 10.11 -0.00 0.03 0.05 711
0.15 0.78 0.77 -0.72 10.01 -0.00 0.03 0.05 717
0.16 0.78 0.82 -0.75 10.07 -0.00 0.03 0.05 723
0.18 0.72 0.79 -0.78 9.96 -0.00 0.03 0.05 730
