Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.03 -0.00 2.91 -4.28 10.05 -0.03 1.32 1.32 17
0.04 -0.00 2.66 -4.34 9.94 -0.08 1.20 1.34 23
0.05 -0.00 2.55 -4.30 9.83 -0.12 1.04 1.36 29
0.05 -0.00 2.63 -4.28 9.91 -0.15 0.89 1.38 35
0.04 -0.00 2.76 -4.31 9.88 -0.19 0.78 1.40 41
0.05 -0.00 2.99 -4.35 10.02 -0.23 0.70 1.43 48
0.04 -0.00 3.17 -4.39 9.96 -0.28 0.66 1.47 54
0.04 0.00 3.25 -4.40 9.90 -0.32 0.62 1.52 60
0.04 0.01 3.23 -4.39 9.81 -0.36 0.59 1.56 66
0.05 -0.00 3.20 -4.49 9.61 -0.37 0.56 1.59 72
0.04 -0.00 3.16 -4.54 9.52 -0.37 0.53 1.62 78
0.04 -0.00 3.14 -4.63 9.29 -0.35 0.51 1.61 84
0.04 -0.00 3.13 -4.68 9.08 -0.32 0.50 1.59 91
0.04 -0.00 3.15 -4.69 8.99 -0.27 0.49 1.56 97
0.05 0.00 3.33 -4.75 9.10 -0.23 0.53 1.49 103
0.05 -0.01 3.60 -4.91 9.15 -0.19 0.58 1.41 109
0.04 -0.00 3.78 -4.99 9.23 -0.17 0.65 1.30 115
0.04 -0.00 3.96 -5.00 9.37 -0.15 0.71 1.17 121
0.03 -0.00 2.11 -6.88 9.32 -0.15 0.79 1.04 128
0.04 0.00 -5.75 -9.90 16.95 -0.35 0.25 0.52 134
0.05 -0.00 0.47 -2.49 9.58 -0.35 -0.24 0.19 140
0.05 -0.00 1.58 -3.40 9.09 -0.39 0.10 0.17 146
0.04 -0.00 -0.06 -5.82 8.49 -0.60 0.34 -0.03 152
0.03 -0.00 0.66 -5.33 10.05 -0.73 0.46 -0.25 158
0.05 0.00 -0.54 -5.26 10.28 -0.80 0.57 -0.41 165
0.05 -0.00 -0.39 -4.24 9.30 -0.83 0.69 -0.53 172
0.05 -0.00 0.99 -4.80 9.79 -0.82 0.66 -0.70 178
0.04 -0.00 -1.48 -6.14 8.41 -0.84 0.74 -0.76 184
0.04 -0.00 -1.55 -4.57 9.86 -0.91 0.63 -0.83 190
0.05 -0.01 -1.55 -4.82 8.95 -0.90 0.54 -0.91 196
0.05 -0.00 -3.38 -5.07 8.34 -0.90 0.35 -1.01 202
0.04 -0.00 0.04 -4.49 8.67 -0.86 0.06 -1.07 208
0.05 -0.00 0.73 -5.04 8.53 -0.79 0.30 -1.03 215
0.04 -0.00 -2.72 -5.26 7.72 -0.77 0.13 -1.08 221
0.05 0.00 -5.32 -5.15 9.66 -0.66 -0.20 -1.11 227
0.05 -0.01 -8.34 -6.06 11.29 -0.54 -0.80 -1.04 233
0.05 -0.00 -5.17 -5.81 9.39 -0.28 -1.13 -0.75 239
0.04 -0.00 -2.12 -5.26 7.75 -0.20 -1.44 -0.63 245
0.05 0.00 -4.31 -6.50 8.46 -0.05 -1.61 -0.59 251
0.06 -0.01 -6.73 -5.97 10.86 -0.04 -1.92 -0.57 259
0.05 -0.01 -10.06 -6.79 30.10 0.54 -1.57 0.14 265
0.04 0.00 -10.52 -3.72 16.03 0.46 -1.64 0.28 271
0.06 0.02 -9.68 -2.88 9.12 0.13 -1.25 -0.07 277
0.05 0.03 -4.34 -1.87 4.22 -0.29 -0.95 -0.20 283
0.04 0.05 -4.55 -1.55 7.54 -0.37 -0.21 -0.17 289
0.04 0.08 -3.00 -0.17 6.41 -0.23 0.37 -0.18 295
0.05 0.09 -1.21 1.04 6.63 -0.06 1.13 -0.00 302
0.05 0.06 -0.42 0.42 14.27 -0.31 1.53 0.17 309
0.03 0.07 3.63 -1.01 15.37 -0.38 0.13 0.20 315
0.04 0.09 1.29 -1.64 9.77 -0.21 -0.07 0.11 321
0.05 0.11 1.72 -1.04 10.94 -0.18 -0.06 0.09 327
0.06 0.15 0.89 -0.94 10.27 -0.11 -0.02 0.09 333
0.06 0.14 0.58 -0.84 10.06 -0.05 0.01 0.08 339
0.06 0.24 0.26 -0.85 10.16 -0.04 0.03 0.07 346
0.06 0.24 0.53 -0.76 9.99 -0.05 0.03 0.06 352
0.08 0.22 0.85 -0.90 10.05 -0.04 0.02 0.06 359
0.11 0.26 0.89 -0.93 10.09 -0.02 0.01 0.07 365
0.08 0.27 0.67 -0.81 10.04 -0.02 0.00 0.08 371
0.09 0.24 0.58 -0.77 9.99 -0.02 -0.00 0.08 377
0.10 0.24 0.61 -0.82 10.00 -0.01 -0.01 0.08 384
0.11 0.25 0.70 -0.88 9.99 -0.02 -0.01 0.08 390
0.12 0.24 0.73 -0.88 9.90 -0.02 -0.01 0.08 396
0.11 0.23 0.73 -0.83 9.89 -0.03 -0.02 0.07 402
0.10 0.23 0.73 -0.78 9.88 -0.03 -0.02 0.06 408
0.11 0.25 0.64 -0.82 9.87 -0.04 -0.02 0.06 414
0.16 0.28 0.60 -0.80 9.93 -0.05 -0.03 0.06 421
0.18 0.27 0.57 -0.64 9.83 -0.05 -0.03 0.07 428
0.18 0.29 0.81 -0.55 10.04 -0.04 -0.04 0.07 434
0.17 0.30 0.55 -0.79 10.01 -0.05 -0.04 0.09 440
0.19 0.33 0.57 -0.78 9.96 -0.04 -0.04 0.10 446
0.19 0.29 0.54 -0.75 9.93 -0.04 -0.03 0.11 452
0.18 0.31 0.55 -0.74 9.91 -0.04 -0.02 0.11 458
0.18 0.36 0.60 -0.76 9.92 -0.03 -0.02 0.11 464
0.20 0.41 0.61 -0.77 9.97 -0.04 -0.02 0.11 471
0.22 0.37 0.66 -0.74 9.98 -0.03 -0.02 0.11 477
0.23 0.42 0.65 -0.78 9.96 -0.03 -0.02 0.11 484
0.22 0.34 0.66 -0.75 9.98 -0.03 -0.02 0.10 490
0.23 0.38 0.66 -0.78 9.98 -0.03 -0.03 0.10 496
0.25 0.35 0.68 -0.78 10.00 -0.03 -0.03 0.10 502
0.24 0.38 0.68 -0.74 9.98 -0.03 -0.04 0.10 508
0.22 0.40 0.67 -0.75 9.91 -0.03 -0.05 0.10 515
0.23 0.42 0.61 -0.74 9.93 -0.03 -0.05 0.10 521
0.23 0.43 0.62 -0.74 9.94 -0.03 -0.06 0.09 527
0.24 0.45 0.03 -0.75 9.96 -0.03 -0.06 0.10 533
0.25 0.48 0.62 -0.73 9.97 -0.03 -0.06 0.10 539
0.26 0.51 0.63 -0.72 9.99 -0.03 -0.06 0.09 546
0.28 0.51 0.60 -0.77 9.95 -0.03 -0.06 0.10 552
0.28 0.53 0.62 -0.73 9.99 -0.03 -0.06 0.10 559
0.27 0.56 0.61 -0.74 9.98 -0.02 -0.06 0.10 565
0.28 0.59 0.65 -0.72 9.97 -0.02 -0.06 0.10 571
0.30 0.59 0.64 -0.69 10.00 -0.02 -0.06 0.09 577
0.30 0.62 0.62 -0.70 9.98 -0.03 -0.07 0.09 583
0.31 0.62 0.60 -0.71 9.99 -0.03 -0.07 0.09 589
0.31 0.62 0.64 -0.73 9.94 -0.03 -0.07 0.09 595
0.33 0.67 0.59 -0.69 9.97 -0.03 -0.07 0.08 602
0.32 0.68 0.00 -0.70 9.98 -0.03 -0.07 0.09 608
0.32 0.69 0.60 -0.70 10.01 -0.03 -0.07 0.08 615
0.31 0.71 0.62 -0.72 9.98 -0.02 -0.07 0.09 621
0.32 0.74 0.58 -0.75 9.98 -0.02 -0.07 0.09 627
0.32 0.73 0.61 -0.69 9.94 -0.02 -0.07 0.08 633
0.32 0.75 0.58 -0.70 9.96 -0.02 -0.07 0.09 640
0.32 0.72 0.00 -0.71 9.88 -0.01 -0.06 0.09 646
0.33 0.73 0.60 -0.69 10.01 -0.01 -0.06 0.09 652
0.33 0.73 0.61 -0.68 9.96 -0.01 -0.06 0.09 658
0.35 0.72 0.57 -0.71 9.98 -0.01 -0.05 0.09 664
0.35 0.71 0.54 -0.71 9.97 -0.01 -0.05 0.10 670
0.37 0.72 0.58 -0.73 9.95 -0.00 -0.04 0.09 677
0.38 0.69 0.60 -0.69 9.95 -0.00 -0.04 0.10 684
0.38 0.69 0.55 -0.74 9.99 0.00 -0.04 0.10 690
0.38 0.69 0.60 -0.74 9.95 0.00 -0.04 0.10 696
0.39 0.69 0.59 -0.73 9.97 -0.00 -0.04 0.10 702
0.40 0.68 0.59 -0.69 9.94 -0.00 -0.03 0.09 708
0.39 0.68 0.53 -0.70 9.92 -0.00 -0.03 0.10 714
0.37 0.67 0.61 -0.72 9.93 0.00 -0.03 0.09 720
0.38 0.66 0.57 -0.74 9.95 -0.00 -0.03 0.10 727
0.37 0.66 0.59 -0.73 9.93 0.00 -0.02 0.09 733
0.38 0.63 0.55 -0.71 9.97 -0.01 -0.02 0.10 739
0.36 0.62 0.59 -0.74 9.92 -0.00 -0.02 0.10 745
0.35 0.62 0.60 -0.72 9.98 -0.01 -0.02 0.10 752
0.35 0.63 0.63 -0.70 9.99 -0.00 -0.02 0.07 758
0.36 0.63 0.63 -0.71 9.95 -0.00 -0.02 0.09 764
0.34 0.62 0.57 -0.69 9.97 -0.00 -0.02 0.10 771
0.33 0.59 0.63 -0.73 9.97 -0.00 -0.02 0.09 777
0.33 0.59 0.58 -0.70 9.95 -0.01 -0.02 0.09 783
0.32 0.60 0.62 -0.71 9.97 -0.00 -0.02 0.09 789
0.32 0.62 0.60 -0.70 9.90 -0.00 -0.02 0.09 795
0.31 0.59 0.60 -0.70 9.96 0.00 -0.02 0.10 801
0.29 0.61 0.62 -0.74 9.95 -0.00 -0.02 0.09 807
0.30 0.63 0.61 -0.73 9.92 -0.00 -0.02 0.09 814
0.29 0.61 0.64 -0.73 9.94 -0.01 -0.02 0.09 820
0.29 0.59 0.59 -0.71 9.93 -0.00 -0.02 0.08 826
0.28 0.58 0.62 -0.72 9.95 -0.01 -0.02 0.09 833
0.27 0.56 0.60 -0.72 9.95 -0.01 -0.02 0.09 839
0.28 0.54 0.61 -0.72 9.95 -0.00 -0.02 0.09 845
0.27 0.55 0.61 -0.71 9.96 -0.00 -0.02 0.09 851
0.27 0.52 0.62 -0.72 9.97 -0.00 -0.02 0.09 858
0.26 0.52 0.62 -0.69 10.01 -0.00 -0.02 0.09 864
0.26 0.51 0.65 -0.70 9.98 -0.00 -0.02 0.09 870
0.26 0.50 0.58 -0.75 9.94 -0.00 -0.02 0.09 876
0.28 0.48 0.64 -0.72 9.98 -0.00 -0.02 0.09 882
0.26 0.48 0.65 -0.72 9.95 -0.00 -0.02 0.10 888
