Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.34 1.29 0.59 -0.73 9.99 -0.01 -0.04 0.13 17
0.33 1.31 0.57 -0.76 9.97 -0.01 -0.04 0.12 23
0.27 1.29 0.58 -0.73 9.93 -0.01 -0.04 0.13 29
0.28 1.26 0.57 -0.74 9.88 -0.01 -0.04 0.12 35
0.30 1.25 0.58 -0.74 9.93 -0.00 -0.04 0.13 41
0.27 1.34 0.59 -0.77 9.92 -0.00 -0.04 0.12 48
0.26 1.33 0.57 -0.75 9.92 -0.01 -0.04 0.12 54
0.21 1.35 0.57 -0.74 9.92 -0.00 -0.04 0.12 60
0.20 1.36 0.56 -0.73 9.90 -0.01 -0.04 0.12 66
0.21 1.40 0.52 -0.76 9.95 -0.01 -0.04 0.12 72
0.20 1.39 0.51 -0.76 9.92 -0.01 -0.04 0.12 78
0.23 1.41 0.59 -0.75 9.94 -0.01 -0.04 0.12 84
0.19 1.43 0.51 -0.74 9.94 -0.01 -0.03 0.12 91
0.14 1.49 0.55 -0.74 9.92 -0.00 -0.04 0.12 97
0.14 1.51 0.56 -0.77 9.95 -0.00 -0.04 0.12 103
0.15 1.54 0.61 -0.73 9.91 -0.00 -0.04 0.12 110
0.11 1.53 0.56 -0.75 9.92 -0.01 -0.04 0.12 116
0.09 1.54 0.59 -0.73 9.95 -0.00 -0.03 0.11 122
0.08 1.54 0.53 -0.74 9.91 -0.00 -0.03 0.11 129
0.08 1.56 0.56 -0.72 9.97 -0.01 -0.04 0.11 135
0.08 1.55 0.55 -0.75 9.94 -0.01 -0.03 0.11 141
0.05 1.54 0.58 -0.74 9.94 -0.00 -0.03 0.11 147
0.07 1.57 0.57 -0.75 9.96 -0.00 -0.03 0.11 153
0.07 1.60 0.57 -0.77 9.97 -0.00 -0.03 0.11 159
0.07 1.61 0.51 -0.74 9.98 -0.00 -0.03 0.11 165
0.06 1.58 0.55 -0.74 9.90 0.00 -0.03 0.11 172
0.05 1.58 0.58 -0.73 9.91 -0.00 -0.03 0.11 179
0.06 1.61 0.59 -0.76 9.89 -0.00 -0.03 0.11 185
0.05 1.58 0.56 -0.76 9.92 -0.00 -0.03 0.11 191
0.04 1.60 0.59 -0.74 9.91 -0.01 -0.03 0.10 197
0.02 1.60 0.56 -0.74 9.92 -0.00 -0.04 0.11 203
0.06 1.63 0.58 -0.72 9.89 -0.00 -0.04 0.11 209
0.08 1.60 0.58 -0.73 9.91 0.00 -0.04 0.11 216
0.08 1.58 0.58 -0.75 9.97 0.00 -0.04 0.10 222
0.06 1.58 0.58 -0.76 9.95 0.00 -0.04 0.10 228
0.06 1.57 0.58 -0.76 10.00 0.01 -0.04 0.10 234
0.05 1.56 0.57 -0.78 9.92 0.01 -0.04 0.10 240
0.04 1.55 0.55 -0.75 9.99 0.01 -0.04 0.10 246
0.04 1.54 0.56 -0.78 9.94 0.01 -0.04 0.11 253
0.04 1.54 0.59 -0.77 9.96 0.00 -0.04 0.10 260
0.05 1.54 0.60 -0.78 9.95 0.00 -0.04 0.10 266
0.06 1.52 0.60 -0.77 9.96 0.00 -0.04 0.09 272
0.05 1.50 0.60 -0.81 9.97 0.01 -0.04 0.13 278
0.05 1.49 0.58 -0.78 9.94 0.01 -0.04 0.10 284
0.05 1.48 0.59 -0.76 9.92 0.01 -0.05 0.10 290
0.06 1.45 0.57 -0.79 9.94 0.01 -0.04 0.10 296
0.06 1.43 0.57 -0.80 9.95 0.01 -0.04 0.10 303
0.06 1.41 0.60 -0.77 9.96 0.01 -0.05 0.10 309
0.07 1.36 0.56 -0.79 9.91 0.01 -0.05 0.10 315
0.08 1.38 0.57 -0.77 9.96 0.01 -0.05 0.09 321
0.07 1.35 0.58 -0.79 9.94 0.01 -0.05 0.10 327
0.06 1.32 0.58 -0.78 9.94 0.01 -0.05 0.09 334
0.05 1.33 0.55 -0.81 9.93 0.00 -0.05 0.09 340
0.06 1.29 0.57 -0.80 9.92 0.01 -0.05 0.10 347
0.06 1.28 0.57 -0.79 9.98 0.01 -0.05 0.10 353
0.07 1.27 0.57 -0.79 9.97 0.00 -0.05 0.09 359
0.07 1.23 0.52 -0.81 9.96 0.00 -0.05 0.10 365
