Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.06 0.29 0.83 -0.70 9.92 -0.08 0.08 0.06 17
0.05 0.28 0.75 -0.69 9.99 -0.07 0.07 0.06 23
0.05 0.39 0.73 -0.68 10.04 -0.07 0.07 0.07 29
0.06 0.44 0.71 -0.65 10.03 -0.06 0.03 0.07 35
0.05 0.39 0.76 -0.63 10.07 -0.05 0.07 0.07 41
0.04 0.44 0.74 -0.58 10.07 -0.03 0.07 0.07 48
0.03 0.47 0.77 -0.62 9.99 -0.02 0.07 0.07 54
0.04 0.44 0.79 -0.60 10.07 -0.01 0.07 0.07 60
0.06 0.44 0.80 -0.59 9.99 -0.00 0.07 0.07 66
0.05 0.45 0.78 -0.63 10.01 0.00 0.07 0.06 72
0.04 0.44 0.83 -0.64 9.96 0.01 0.06 0.07 78
0.03 0.43 0.73 -0.69 9.99 0.01 0.06 0.07 84
0.04 0.41 0.77 -0.68 9.97 0.01 0.06 0.06 91
0.05 0.40 0.78 -0.69 9.98 0.01 0.06 0.06 97
0.05 0.40 0.80 -0.69 10.00 0.01 0.05 0.06 103
0.05 0.36 0.80 -0.68 10.01 0.01 0.05 0.06 110
0.04 0.33 0.81 -0.70 9.99 0.01 0.04 0.06 116
0.05 0.29 0.79 -0.68 9.93 0.01 0.04 0.06 122
0.06 0.24 0.81 -0.68 10.00 0.01 0.00 0.06 129
0.05 0.23 0.83 -0.66 10.00 0.01 0.03 0.06 135
0.04 0.20 0.85 -0.70 9.98 0.01 0.03 0.06 141
0.06 0.18 0.89 -0.69 10.00 0.01 0.02 0.06 147
0.07 0.18 0.83 -0.70 9.97 0.02 0.02 0.05 153
0.06 0.17 0.82 -0.69 9.97 0.01 0.02 0.06 159
0.07 0.13 0.89 -0.74 9.94 0.01 0.02 0.06 165
0.06 0.12 0.91 -0.70 9.99 0.01 0.02 0.05 172
0.06 0.11 0.88 -0.68 10.04 0.01 0.02 0.05 178
0.06 0.14 0.90 -0.71 9.93 0.00 0.01 0.05 184
0.06 0.11 0.88 -0.70 9.98 0.00 0.02 0.05 191
0.06 0.10 0.89 -0.69 10.02 0.00 0.02 0.05 197
0.05 0.08 0.88 -0.72 9.97 -0.00 0.02 0.05 203
0.06 0.08 0.91 -0.72 9.97 -0.00 0.01 0.05 209
0.06 0.08 0.86 -0.74 9.95 -0.00 0.01 0.05 216
0.05 0.05 0.90 -0.68 9.93 -0.00 0.02 0.05 222
0.05 0.04 0.89 -0.72 9.98 -0.01 0.02 0.05 228
0.07 0.07 0.94 -0.73 9.89 -0.01 0.02 0.05 234
0.07 0.07 0.94 -0.67 9.98 -0.00 0.02 0.05 240
0.06 0.07 0.90 -0.70 9.99 -0.01 0.01 0.05 246
0.06 0.04 0.87 -0.73 10.01 -0.00 0.01 0.05 252
0.05 0.04 0.91 -0.72 10.00 -0.01 0.01 0.05 259
0.07 0.08 0.93 -0.73 9.99 -0.01 0.02 0.05 265
0.08 0.05 0.92 -0.74 9.95 -0.01 0.02 0.05 271
