Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.02 0.80 1.00 -0.78 9.97 -0.00 -0.03 0.01 23
0.02 0.80 0.95 -0.80 9.97 -0.01 -0.03 0.01 29
0.00 0.80 0.92 -0.80 9.97 -0.01 -0.03 0.02 35
0.01 0.80 0.93 -0.81 10.01 -0.01 -0.02 0.02 41
0.02 0.81 0.96 -0.78 10.02 -0.01 -0.03 0.02 48
0.01 0.80 0.94 -0.79 9.96 -0.00 -0.02 0.02 54
0.01 0.80 1.00 -0.80 9.96 -0.00 -0.02 0.02 60
0.01 0.79 0.93 -0.80 9.98 0.00 -0.02 0.02 66
0.01 0.77 0.96 -0.76 9.97 -0.00 -0.02 0.02 72
0.02 0.77 1.00 -0.76 9.95 0.00 -0.03 0.02 78
0.03 0.76 0.98 -0.77 9.98 0.00 -0.03 0.02 84
0.02 0.76 0.97 -0.78 9.95 0.01 -0.03 0.02 91
0.02 0.75 0.97 -0.81 9.95 0.00 -0.04 0.02 97
0.00 0.73 0.98 -0.81 9.93 0.00 -0.04 0.02 103
0.01 0.73 0.97 -0.83 9.97 -0.00 -0.05 0.02 109
0.02 0.75 0.95 -0.80 9.99 -0.00 -0.05 0.02 115
0.02 0.75 0.97 -0.81 9.99 -0.00 -0.05 0.02 121
0.01 0.75 0.97 -0.83 9.99 -0.01 -0.05 0.03 128
-0.00 0.76 0.97 -0.80 10.01 -0.01 -0.04 0.03 135
0.00 0.77 0.94 -0.78 9.95 -0.01 -0.04 0.03 141
0.02 0.76 0.99 -0.81 9.98 -0.01 -0.04 0.03 147
0.01 0.76 0.96 -0.80 9.98 -0.01 -0.04 0.03 153
0.01 0.75 0.96 -0.79 9.98 -0.01 -0.04 0.03 159
0.02 0.77 0.97 -0.80 9.93 -0.01 -0.04 0.03 165
0.03 0.77 0.97 -0.80 9.94 -0.01 -0.04 0.03 172
0.01 0.78 0.97 -0.79 9.96 -0.01 -0.04 0.03 178
0.01 0.77 0.96 -0.81 9.96 -0.01 -0.04 0.04 184
0.02 0.78 0.98 -0.83 9.98 -0.01 -0.04 0.04 190
0.03 0.79 0.95 -0.81 9.96 -0.01 -0.05 0.04 196
0.04 0.78 0.93 -0.77 9.93 -0.01 -0.05 0.04 202
0.02 0.79 0.96 -0.76 9.95 -0.00 -0.05 0.04 208
0.02 0.78 0.93 -0.77 9.95 -0.01 -0.05 0.04 216
0.01 0.79 0.93 -0.78 9.92 -0.01 -0.06 0.04 222
0.03 0.79 0.93 -0.78 9.98 -0.00 -0.03 0.04 228
