Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.05 0.01 4.02 -3.26 11.89 -0.41 1.15 0.56 23
0.06 0.01 3.11 -3.35 10.99 -0.51 1.29 0.46 29
0.06 0.01 1.77 -4.27 10.21 -0.50 1.47 0.40 35
0.06 -0.00 1.78 -4.63 11.35 -0.51 1.71 0.35 41
0.06 0.01 1.89 -4.45 11.82 -0.56 1.82 0.32 48
0.07 0.01 1.17 -4.74 11.70 -0.60 1.83 0.29 54
0.06 0.01 0.84 -4.92 11.12 -0.64 1.81 0.25 60
0.06 0.00 0.66 -4.95 10.57 -0.66 1.71 0.17 67
0.06 0.02 0.48 -4.97 9.98 -0.66 1.58 0.14 73
0.06 0.02 0.35 -5.01 9.38 -0.63 1.46 0.06 79
0.06 0.01 0.40 -5.11 8.85 -0.58 1.34 -0.04 86
0.06 0.00 0.52 -5.30 8.39 -0.53 1.27 -0.17 92
0.05 0.00 0.64 -5.49 8.11 -0.45 1.21 -0.28 98
0.05 0.01 0.82 -5.75 8.16 -0.37 1.23 -0.41 104
0.06 0.01 0.98 -6.13 8.23 -0.31 1.35 -0.52 110
0.06 0.00 0.80 -6.49 8.27 -0.28 1.57 -0.59 116
0.05 0.01 -9.97 -11.59 23.44 -0.26 0.95 -0.97 122
0.06 0.02 -9.45 -3.33 7.99 -0.71 -0.38 -1.20 129
0.06 0.02 -7.36 -5.79 9.57 -0.56 -0.32 -0.94 136
0.06 0.01 -9.45 -6.11 9.15 -0.73 -0.46 -0.85 142
0.05 0.02 -8.78 -6.92 9.10 -0.67 -0.67 -0.93 148
0.05 0.03 -9.55 -7.29 10.74 -0.60 -0.96 -1.09 154
0.06 0.02 -11.37 -6.16 10.98 -0.59 -1.14 -1.22 160
0.05 0.02 -10.67 -4.49 10.99 -0.67 -1.31 -1.43 166
0.07 0.02 -9.98 -2.40 11.13 -0.81 -1.45 -1.64 174
0.05 0.02 -10.27 0.01 13.01 -1.00 -1.43 -1.86 180
0.07 0.02 -4.83 -3.02 13.36 -1.22 -0.95 -2.00 186
0.05 0.03 -1.14 -2.97 5.99 -1.24 -0.01 -2.04 192
0.05 0.02 -18.62 9.94 7.34 -0.59 1.03 -1.35 198
0.05 0.02 -2.05 2.43 7.59 -0.15 -0.22 -0.51 204
0.06 0.02 -2.22 3.97 4.20 -0.42 0.18 -0.16 210
0.06 0.08 -1.83 -0.66 9.20 -0.90 1.28 0.23 218
0.06 0.23 4.11 0.95 11.71 -0.44 0.20 0.16 224
0.02 0.53 -0.18 -1.44 10.95 -0.34 0.04 0.09 230
0.04 0.80 0.75 -1.25 11.77 -0.25 0.05 0.12 236
