Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
0.20 0.01 0.81 -0.88 9.97 0.01 -0.03 0.05 558
0.19 -0.00 0.84 -0.86 9.93 0.01 -0.04 0.05 564
0.22 -0.01 0.82 -0.87 9.92 0.01 -0.04 0.05 570
0.23 0.01 0.83 -0.88 9.92 0.01 -0.04 0.05 576
0.22 0.00 0.80 -0.88 9.91 0.01 -0.04 0.05 582
0.24 -0.01 0.83 -0.92 9.91 0.01 -0.03 0.04 588
0.23 -0.01 0.82 -0.90 9.95 0.01 -0.03 0.04 594
0.24 0.01 0.83 -0.88 9.95 0.01 -0.03 0.05 601
0.25 -0.02 0.82 -0.89 9.94 0.01 -0.02 0.05 607
0.25 -0.02 0.91 -0.91 9.83 0.02 -0.02 0.05 613
0.25 -0.01 0.92 -1.00 10.05 0.02 -0.02 0.04 619
0.27 -0.00 0.90 -1.62 9.97 0.02 -0.02 0.04 626
0.29 -0.02 0.88 -0.84 10.05 0.02 -0.02 0.04 632
0.28 -0.02 0.89 -0.92 9.89 0.03 -0.01 0.04 638
0.28 -0.02 0.80 -0.89 9.97 0.03 -0.01 0.04 645
0.29 -0.02 0.80 -0.87 9.98 0.03 -0.01 0.05 651
0.32 -0.02 0.81 -0.95 9.96 0.04 -0.01 0.04 657
0.32 -0.03 0.84 -0.94 9.96 0.05 -0.01 0.04 663
0.33 -0.03 0.74 -0.83 10.00 0.05 -0.01 0.05 669
0.32 -0.03 0.80 -0.94 10.06 0.05 0.00 0.04 675
0.33 -0.01 0.92 -1.00 9.88 0.06 0.01 0.04 681
0.37 -0.03 0.80 -0.97 10.03 0.08 0.02 0.05 688
0.38 -0.04 0.88 -1.00 10.00 0.09 0.03 0.04 694
0.36 -0.02 0.88 -0.95 10.10 0.11 0.03 0.05 701
0.39 -0.02 0.82 -1.02 10.19 0.14 0.04 0.04 707
0.41 -0.02 0.90 -1.07 10.14 0.20 0.06 0.04 713
0.44 -0.03 0.95 -1.11 9.98 0.26 0.10 0.04 719
0.46 -0.03 0.90 -1.02 10.24 0.34 0.13 0.03 726
0.49 -0.02 0.84 -1.17 10.16 0.43 0.17 0.02 732
0.50 -0.04 1.18 -1.16 10.23 0.55 0.21 0.01 738
0.51 -0.03 0.88 -1.11 10.49 0.65 0.23 0.01 745
0.53 -0.02 0.89 -1.35 11.12 0.79 0.26 0.01 751
0.56 -0.03 1.01 -1.35 10.63 0.85 0.28 0.01 757
0.57 -0.05 1.02 -1.49 10.57 0.92 0.28 0.01 763
0.57 -0.03 1.00 -1.51 10.76 0.96 0.22 -0.01 770
0.59 -0.03 1.20 -1.62 10.78 1.00 0.19 -0.02 776
0.57 -0.03 1.14 -1.60 10.65 1.04 0.16 -0.03 782
0.58 -0.03 1.13 -1.76 10.61 1.07 0.14 -0.03 789
0.63 -0.02 1.22 -1.84 10.78 1.09 0.11 -0.04 795
0.65 -0.04 1.31 -1.83 10.49 1.12 0.07 -0.04 801
0.65 -0.05 1.07 -1.94 10.56 1.15 0.02 -0.05 807
0.65 -0.04 1.20 -2.02 10.45 1.17 -0.02 -0.05 814
0.64 -0.04 1.17 -2.08 10.60 1.18 -0.06 -0.06 820
0.65 -0.05 1.24 -2.16 10.70 1.22 -0.08 -0.06 826
0.63 -0.04 1.22 -2.23 10.94 1.26 -0.12 -0.07 833
0.65 -0.03 1.31 -2.32 10.93 1.33 -0.15 -0.08 839
0.60 -0.03 1.38 -3.04 10.84 1.38 -0.18 -0.10 845
0.56 -0.04 1.39 -2.48 10.66 1.43 -0.21 -0.11 851
0.55 -0.03 1.42 -2.66 10.46 1.47 -0.23 -0.13 858
0.52 -0.03 1.31 -2.71 10.53 1.49 -0.24 -0.15 864
0.46 -0.03 1.16 -2.84 10.43 1.51 -0.25 -0.16 871
0.45 -0.02 1.22 -2.94 10.69 1.54 -0.26 -0.16 877
0.39 -0.03 1.07 -3.15 11.15 1.59 -0.28 -0.16 883
