Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.03 -0.00 -1.56 -4.90 9.30 -0.71 0.26 0.65 23
0.03 -0.00 -0.31 -5.08 9.10 -0.72 0.15 0.41 29
0.03 -0.00 0.75 -5.21 8.72 -0.72 0.15 0.14 35
0.03 -0.00 1.30 -5.25 8.25 -0.71 0.19 -0.13 41
0.04 -0.00 1.45 -5.36 7.67 -0.68 0.26 -0.35 48
0.04 -0.00 1.61 -5.62 7.21 -0.61 0.30 -0.61 54
0.04 -0.00 1.72 -5.70 7.14 -0.53 0.33 -0.86 60
0.04 -0.00 1.75 -5.66 7.09 -0.45 0.33 -1.10 66
0.04 -0.00 2.00 -5.33 7.30 -0.38 0.33 -1.26 72
0.03 -0.00 2.57 -4.99 7.55 -0.33 0.34 -1.42 78
0.03 0.00 2.96 -4.68 7.52 -0.31 0.38 -1.51 84
0.05 -0.01 3.01 -4.57 6.89 -0.30 0.38 -1.55 91
0.03 -0.00 2.79 -4.43 6.29 -0.29 0.36 -1.56 97
0.03 -0.00 -6.11 -21.00 8.57 -0.04 -0.09 -1.57 103
0.03 -0.00 2.88 -7.13 23.61 2.25 -1.59 -1.51 109
0.04 0.00 -1.81 -45.04 36.38 0.36 -2.55 -1.37 115
0.03 0.03 -0.04 -1.94 15.80 -0.27 -0.52 -0.48 121
0.04 0.06 1.13 -6.80 12.87 -0.32 -0.06 0.07 128
0.05 0.12 0.09 -1.77 11.80 -0.19 -0.08 0.07 135
0.04 0.12 0.13 -0.50 9.75 -0.08 -0.02 0.04 141
0.04 0.11 0.60 0.24 9.27 -0.06 -0.01 0.02 147
0.04 0.13 1.15 0.59 9.42 -0.08 -0.01 0.04 153
0.04 0.18 0.90 0.09 9.88 -0.07 -0.00 0.07 159
0.04 0.21 0.64 -0.52 10.15 -0.05 -0.00 0.08 165
0.03 0.24 0.69 -0.65 10.01 -0.02 -0.00 0.08 172
0.04 0.20 0.78 -0.56 10.08 0.01 0.01 0.08 178
0.03 0.23 0.79 -0.56 10.04 0.01 0.01 0.07 184
0.05 0.26 0.63 -0.67 10.11 0.02 0.02 0.07 190
0.04 0.24 0.65 -0.86 10.06 0.02 0.03 0.07 197
0.04 0.24 0.71 -0.91 10.09 0.01 0.04 0.05 203
0.05 0.26 0.73 -0.84 10.05 0.00 0.04 0.05 209
0.06 0.26 0.68 -0.82 10.05 -0.01 0.05 0.05 216
0.05 0.26 0.62 -0.81 10.13 -0.01 0.05 0.05 222
0.04 0.25 0.66 -0.84 10.07 -0.02 0.05 0.05 228
0.05 0.22 0.73 -0.72 9.97 -0.02 0.05 0.05 234
0.06 0.24 0.75 -0.72 9.99 -0.03 0.05 0.05 240
0.05 0.25 0.74 -0.73 10.11 -0.03 0.05 0.05 247
0.05 0.25 0.73 -0.72 10.00 -0.04 0.04 0.06 253
0.05 0.27 0.79 -0.75 10.04 -0.04 0.03 0.06 260
0.06 0.27 0.76 -0.74 10.04 -0.04 0.03 0.06 266
0.04 0.31 0.75 -0.72 10.04 -0.04 0.03 0.06 272
0.04 0.32 0.74 -0.70 10.10 -0.04 0.02 0.06 278
0.05 0.37 0.81 -0.70 10.10 -0.03 0.02 0.06 284
0.05 0.35 0.81 -0.66 9.98 -0.02 0.01 0.06 290
0.05 0.37 0.81 -0.65 9.87 -0.03 0.01 0.07 296
0.04 0.34 0.79 -0.66 9.98 -0.02 0.01 0.06 303
0.05 0.39 0.81 -0.66 10.00 -0.02 0.00 0.06 310
0.05 0.36 0.76 -0.66 10.03 -0.01 0.00 0.06 316
0.05 0.33 0.75 -0.72 9.98 -0.02 -0.00 0.06 322
0.04 0.38 0.77 -0.72 9.97 -0.02 -0.01 0.06 328
0.05 0.37 0.78 -0.68 10.00 -0.02 -0.01 0.06 334
0.05 0.38 0.79 -0.71 10.04 -0.02 -0.02 0.06 340
0.05 0.38 0.75 -0.65 10.02 -0.02 -0.02 0.06 347
0.04 0.38 0.80 -0.68 9.97 -0.02 -0.02 0.06 353
0.04 0.41 0.76 -0.66 9.98 -0.02 -0.03 0.06 359
0.06 0.40 0.70 -0.69 9.98 -0.03 -0.03 0.07 365
0.04 0.42 0.76 -0.68 9.97 -0.03 -0.03 0.06 372
0.04 0.44 0.74 -0.67 10.00 -0.03 -0.03 0.06 378
0.05 0.48 0.78 -0.71 10.03 -0.03 -0.02 0.06 385
0.05 0.49 0.80 -0.65 10.02 -0.03 -0.02 0.06 391
0.04 0.53 0.74 -0.68 9.98 -0.02 -0.02 0.06 397
0.03 0.52 0.75 -0.62 10.03 -0.02 -0.02 0.07 403
0.04 0.49 0.73 -0.63 10.02 -0.01 -0.01 0.06 409
0.05 0.51 0.76 -0.67 10.01 -0.01 -0.01 0.06 415
0.04 0.49 0.76 -0.65 10.02 -0.01 -0.01 0.06 422
0.04 0.49 0.76 -0.67 9.94 -0.01 -0.00 0.06 429
0.06 0.48 0.77 -0.65 9.94 -0.01 0.00 0.06 435
0.05 0.48 0.77 -0.66 9.96 -0.01 0.01 0.06 441
0.05 0.46 0.77 -0.64 9.96 -0.01 0.02 0.06 447
0.03 0.45 0.78 -0.62 10.01 -0.00 0.02 0.06 453
0.04 0.47 0.75 -0.64 9.99 -0.00 0.03 0.06 459
0.05 0.46 0.76 -0.67 10.01 -0.00 0.03 0.05 465
0.04 0.46 0.81 -0.71 10.01 -0.00 0.04 0.05 472
