Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
0.04 0.56 0.80 -0.71 10.03 -0.02 -0.03 0.01 547
0.04 0.55 0.76 -0.72 9.98 -0.01 -0.04 0.01 553
0.05 0.54 0.77 -0.69 10.01 -0.02 -0.03 0.02 560
0.07 0.53 0.75 -0.70 9.96 -0.01 -0.03 0.01 567
0.09 0.52 0.78 -0.74 9.99 -0.01 -0.03 0.02 573
0.08 0.51 0.76 -0.68 10.07 -0.01 -0.03 0.01 579
0.09 0.51 0.74 -0.66 9.97 -0.01 -0.03 0.01 585
0.08 0.48 0.73 -0.68 9.98 -0.00 -0.02 0.02 591
0.07 0.45 0.77 -0.72 10.00 -0.00 -0.02 0.02 598
0.07 0.46 0.72 -0.71 10.02 0.00 -0.01 0.02 604
0.08 0.45 0.76 -0.71 10.02 0.00 -0.01 0.02 610
0.06 0.42 0.80 -0.73 10.04 0.00 -0.00 0.02 616
0.06 0.40 0.78 -0.72 10.03 0.01 -0.00 0.02 623
0.07 0.37 0.80 -0.71 10.01 0.01 0.01 0.02 629
0.08 0.36 0.79 -0.65 10.06 0.02 0.02 0.03 635
0.07 0.28 0.81 -0.66 10.08 0.03 0.03 0.03 642
0.06 0.24 0.82 -0.70 10.09 0.04 0.04 0.04 648
0.07 0.24 0.84 -0.76 10.04 0.05 0.04 0.03 654
0.07 0.19 0.78 -0.73 10.06 0.06 0.05 0.04 660
0.08 0.09 0.84 -0.76 10.08 0.06 0.06 0.04 666
0.06 0.09 0.83 -0.75 10.04 0.07 0.07 0.04 672
0.08 0.05 0.88 -0.74 10.07 0.07 0.08 0.05 679
0.08 0.03 0.97 -0.81 10.04 0.09 0.09 0.04 686
0.09 0.00 1.01 -0.76 10.06 0.10 0.10 0.05 692
0.08 -0.00 0.96 -0.86 10.27 0.12 0.11 0.05 698
0.07 0.01 0.92 -1.01 10.32 0.14 0.12 0.05 704
0.09 -0.01 1.16 -1.04 10.16 0.19 0.14 0.03 710
0.09 -0.01 1.01 -0.92 10.45 0.22 0.14 0.01 716
0.08 -0.01 1.04 -0.87 10.59 0.29 0.14 -0.01 722
0.07 -0.00 0.93 -0.88 10.89 0.41 0.16 -0.02 729
