Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.15 0.54 0.59 -0.93 9.97 -0.04 -0.03 0.10 17
0.17 0.56 0.59 -0.92 9.97 -0.04 -0.03 0.10 23
0.17 0.54 0.57 -0.93 9.97 -0.04 -0.03 0.11 29
0.16 0.54 0.54 -0.91 9.99 -0.03 -0.04 0.11 35
0.16 0.60 0.58 -0.91 9.96 -0.02 -0.03 0.11 41
0.17 0.62 0.56 -0.90 9.94 -0.03 -0.04 0.11 48
0.19 0.62 0.57 -0.91 9.92 -0.03 -0.05 0.11 54
0.18 0.62 0.61 -1.03 9.98 -0.03 -0.04 0.11 60
0.18 0.64 0.56 -0.86 9.96 -0.03 -0.04 0.10 66
0.17 0.62 0.48 -0.80 9.93 -0.03 -0.05 0.11 72
0.18 0.69 0.57 -0.89 9.85 -0.04 -0.05 0.11 78
0.19 0.66 0.54 -0.86 9.95 -0.03 -0.05 0.11 84
0.18 0.71 0.55 -0.88 9.94 -0.03 -0.04 0.10 91
0.17 0.72 0.56 -0.86 9.94 -0.03 -0.04 0.11 97
0.15 0.69 0.54 -0.89 9.93 -0.03 -0.04 0.11 103
0.17 0.70 0.56 -0.87 9.93 -0.03 -0.04 0.11 109
0.18 0.74 0.57 -0.86 9.90 -0.03 -0.03 0.10 116
0.19 0.72 0.53 -0.86 9.93 -0.03 -0.03 0.11 122
0.19 0.78 0.54 -0.87 9.93 -0.02 -0.03 0.11 129
0.19 0.75 0.60 -0.86 9.91 -0.02 -0.03 0.11 135
0.20 0.75 0.54 -0.85 9.95 -0.02 -0.02 0.11 141
0.19 0.77 0.55 -0.86 9.97 -0.03 -0.03 0.11 147
0.20 0.75 0.57 -0.85 9.93 -0.02 -0.02 0.11 153
0.20 0.73 0.56 -0.86 9.92 -0.02 -0.02 0.11 159
0.22 0.79 0.59 -0.85 9.91 -0.02 -0.02 0.11 165
0.21 0.79 0.59 -0.85 9.92 -0.02 -0.02 0.11 172
0.20 0.83 0.55 -0.87 9.90 -0.02 -0.02 0.11 178
0.20 0.83 0.55 -0.84 9.90 -0.02 -0.02 0.12 185
0.20 0.90 0.58 -0.85 9.94 -0.02 -0.01 0.12 191
0.20 0.90 0.55 -0.86 9.95 -0.02 -0.01 0.12 197
0.21 0.89 0.56 -0.84 9.94 -0.01 -0.01 0.11 203
0.19 0.93 0.58 -0.86 9.92 -0.01 -0.01 0.12 209
0.19 0.95 0.59 -0.85 9.93 -0.01 -0.01 0.12 216
0.18 0.90 0.59 -0.83 9.92 -0.01 -0.01 0.12 222
0.18 0.90 0.59 -0.85 9.90 -0.01 -0.02 0.13 228
0.18 0.92 0.60 -0.83 9.95 -0.01 -0.02 0.13 234
0.19 0.95 0.57 -0.83 9.96 -0.00 -0.01 0.12 240
0.21 0.93 0.58 -0.83 9.96 -0.01 -0.01 0.12 246
0.20 0.92 0.57 -0.82 9.93 -0.00 -0.01 0.12 253
0.20 0.91 0.57 -0.84 9.93 0.00 -0.01 0.12 260
0.20 0.94 0.59 -0.85 9.93 -0.00 -0.01 0.12 266
0.20 0.95 0.57 -0.85 9.95 0.00 -0.01 0.13 272
0.18 0.96 0.57 -0.85 9.87 0.00 -0.01 0.13 278
0.18 0.96 0.61 -0.84 9.90 -0.00 -0.01 0.12 284
0.17 0.97 0.61 -0.86 9.94 0.00 -0.01 0.13 290
0.19 0.96 0.58 -0.82 9.91 0.00 -0.01 0.12 296
0.20 0.97 0.58 -0.83 9.92 0.00 -0.01 0.13 303
0.18 0.94 0.63 -0.84 9.93 0.00 -0.01 0.12 309
0.17 0.93 0.61 -0.86 9.92 0.01 -0.01 0.12 315
0.18 0.93 0.59 -0.85 9.93 0.01 -0.01 0.13 322
0.20 0.93 0.62 -0.82 9.94 0.01 -0.01 0.13 328
0.20 0.94 0.64 -0.83 9.93 0.01 -0.01 0.14 334
0.18 0.94 0.61 -0.85 9.92 0.01 -0.01 0.14 340
0.20 0.93 0.59 -0.85 9.89 0.01 0.00 0.14 347
0.21 0.92 0.59 -0.81 9.90 0.01 0.01 0.13 353
0.21 0.88 0.61 -0.83 9.93 0.01 0.01 0.14 359
0.21 0.87 0.63 -0.86 9.90 0.01 0.02 0.14 365
0.19 0.86 0.62 -0.87 9.94 0.02 0.02 0.15 371
0.19 0.86 0.66 -0.84 9.93 0.01 0.02 0.14 377
0.20 0.83 1.21 -0.88 9.90 0.01 0.02 0.14 384
0.16 0.83 0.63 -0.85 9.91 0.01 0.02 0.14 390
0.16 0.80 0.63 -0.87 9.93 0.01 0.02 0.14 397
0.15 0.79 0.69 -0.86 9.91 0.00 0.02 0.14 403
0.14 0.79 0.67 -0.86 9.92 0.01 0.02 0.14 409
0.12 0.79 0.68 -0.86 9.90 0.01 0.02 0.14 415
0.12 0.74 0.68 -0.85 9.92 0.01 0.02 0.13 421
0.14 0.72 0.70 -0.86 9.89 0.01 0.03 0.14 428
0.13 0.69 0.64 -0.85 9.94 0.01 0.03 0.14 434
0.11 0.65 0.69 -0.85 9.95 0.01 0.04 0.14 440
0.11 0.62 0.75 -0.88 9.91 0.01 0.04 0.14 446
0.09 0.56 0.73 -0.85 9.89 0.01 0.05 0.14 452
0.09 0.56 0.72 -0.83 9.94 0.02 0.05 0.13 458
0.10 0.50 0.71 -0.88 9.90 0.01 0.05 0.13 464
0.06 0.48 0.71 -0.86 9.89 0.01 0.05 0.12 472
0.08 0.37 0.75 -0.86 9.87 0.01 0.05 0.12 478
0.08 0.40 0.76 -0.88 9.87 0.01 0.05 0.11 484
0.11 0.41 0.78 -0.86 9.93 0.01 0.05 0.12 490
0.08 0.32 0.78 -0.90 9.90 0.01 0.04 0.11 496
0.09 0.29 0.79 -0.88 9.88 0.01 0.04 0.11 502
0.09 0.28 0.88 -0.81 9.86 0.01 0.03 0.10 508
0.07 0.23 0.78 -0.97 9.88 0.01 0.03 0.10 515
0.06 0.26 0.79 -0.93 9.89 0.01 0.03 0.10 521
0.08 0.18 0.78 -0.84 9.91 0.01 0.02 0.09 527
0.06 0.19 0.79 -0.91 9.90 0.01 0.01 0.09 533
0.07 0.18 0.80 -0.95 9.89 0.00 -0.00 0.08 539
0.10 0.17 0.78 -0.89 9.89 0.01 -0.01 0.08 545
0.08 0.16 0.77 -0.91 9.89 0.01 -0.01 0.08 552
0.08 0.12 0.83 -0.92 9.90 0.01 -0.01 0.08 559
0.08 0.14 0.81 -0.92 9.90 0.01 -0.02 0.08 565
0.08 0.17 0.81 -0.93 9.91 0.01 -0.02 0.07 571
0.09 0.16 0.82 -0.95 9.94 0.01 -0.03 0.08 577
0.08 0.13 0.81 -0.89 9.92 0.01 -0.03 0.08 583
0.07 0.13 0.85 -0.92 9.93 0.01 -0.04 0.08 589
0.09 0.11 0.88 -0.92 9.89 0.01 -0.05 0.08 595
0.10 0.13 0.82 -0.93 9.90 0.01 -0.06 0.07 602
0.09 0.09 0.80 -0.93 9.91 0.01 -0.06 0.07 608
0.09 0.07 0.79 -0.91 9.93 0.00 -0.07 0.06 614
0.09 0.10 0.78 -0.94 9.90 0.00 -0.07 0.06 620
0.12 0.10 0.80 -0.96 9.91 0.00 -0.07 0.10 626
0.12 0.09 0.80 -0.93 9.90 0.00 -0.07 0.07 632
0.11 0.09 0.71 -0.94 9.94 -0.00 -0.07 0.07 640
0.11 0.08 0.78 -0.94 9.98 -0.00 -0.06 0.07 646
0.13 0.07 0.79 -0.90 9.92 0.00 -0.06 0.08 652
0.14 0.07 0.76 -0.94 9.89 0.00 -0.06 0.07 658
0.12 0.05 0.81 -0.94 9.94 -0.00 -0.06 0.07 664
0.11 0.07 0.77 -0.91 9.88 -0.00 -0.06 0.08 670
0.12 0.07 0.83 -0.92 9.92 -0.01 -0.06 0.07 676
0.13 0.08 0.73 -0.91 9.89 -0.01 -0.06 0.07 683
0.16 0.07 0.78 -0.97 9.96 -0.01 -0.06 0.08 689
0.16 0.07 0.75 -0.95 9.91 -0.01 -0.06 0.08 695
0.14 0.08 0.75 -0.94 9.93 -0.01 -0.06 0.08 701
0.14 0.08 0.78 -0.96 9.91 -0.01 -0.06 0.08 707
0.14 0.09 0.76 -0.92 9.92 -0.01 -0.06 0.08 713
0.13 0.10 0.78 -0.93 9.88 -0.01 -0.06 0.08 720
0.13 0.08 0.80 -0.91 9.91 -0.01 -0.06 0.08 727
0.13 0.10 0.77 -0.93 9.94 -0.01 -0.06 0.08 733
0.14 0.11 0.78 -0.95 9.91 -0.02 -0.06 0.09 739
0.17 0.10 0.79 -0.91 9.91 -0.02 -0.06 0.08 745
