Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
0.04 -0.00 1.20 -2.20 9.32 -0.24 0.23 0.94 541
0.05 0.00 1.37 -2.24 9.30 -0.21 0.26 0.99 547
0.05 0.00 1.52 -2.24 9.35 -0.18 0.27 1.06 553
0.04 -0.00 1.48 -2.17 9.53 -0.15 0.28 1.14 560
0.05 -0.00 1.37 -2.08 9.51 -0.12 0.25 1.22 566
0.03 -0.00 1.43 -1.95 9.47 -0.10 0.23 1.31 572
0.04 -0.00 1.49 -1.89 9.64 -0.10 0.21 1.37 578
0.06 -0.01 1.65 -1.89 9.83 -0.10 0.23 1.43 584
0.04 -0.00 1.73 -2.00 10.04 -0.11 0.26 1.47 590
0.05 -0.00 1.73 -2.05 10.04 -0.13 0.31 1.50 596
0.04 -0.00 1.55 -2.25 9.98 -0.17 0.34 1.51 603
0.05 0.01 1.35 -3.06 9.83 -0.20 0.36 1.50 609
0.05 -0.01 1.26 -2.58 9.80 -0.22 0.35 1.49 615
0.04 -0.00 1.35 -2.72 9.81 -0.23 0.35 1.47 621
0.05 -0.00 1.49 -2.79 9.73 -0.24 0.36 1.45 627
0.04 -0.00 1.64 -2.80 9.52 -0.25 0.38 1.42 633
0.05 -0.00 1.64 -2.88 9.45 -0.26 0.41 1.39 641
0.05 -0.01 1.49 -2.98 9.41 -0.27 0.44 1.35 647
0.05 -0.01 1.35 -3.05 9.33 -0.26 0.47 1.31 653
0.04 -0.00 1.25 -3.13 9.37 -0.25 0.49 1.26 659
0.04 -0.00 1.20 -3.11 9.45 -0.23 0.51 1.22 665
0.04 0.01 1.12 -3.18 9.51 -0.22 0.52 1.17 671
0.04 -0.00 1.11 -3.22 9.59 -0.21 0.53 1.11 677
0.04 -0.00 1.25 -3.24 9.78 -0.20 0.53 1.06 684
0.03 -0.00 1.43 -3.32 9.97 -0.20 0.56 0.99 690
0.04 -0.00 1.66 -3.34 10.09 -0.22 0.58 0.93 696
0.04 -0.00 1.82 -3.31 10.07 -0.24 0.62 0.89 702
0.04 -0.00 1.96 -3.25 10.00 -0.27 0.66 0.85 708
0.04 -0.00 1.90 -3.34 9.81 -0.29 0.71 0.81 714
0.03 -0.00 1.87 -3.49 9.61 -0.29 0.76 0.79 720
0.04 -0.00 1.79 -3.60 9.51 -0.28 0.79 0.76 727
0.05 -0.01 1.65 -3.67 9.42 -0.24 0.82 0.74 733
0.04 -0.00 1.49 -3.54 9.52 -0.20 0.86 0.73 740
0.04 -0.00 1.20 -3.40 9.45 -0.15 0.90 0.73 746
0.04 -0.00 0.84 -3.37 9.45 -0.12 0.92 0.74 752
0.04 -0.00 0.03 -3.28 9.72 -0.08 0.93 0.75 758
0.04 -0.00 0.39 -3.27 9.90 -0.05 0.91 0.76 764
0.05 -0.00 0.27 -3.23 10.08 -0.03 0.90 0.76 771
0.04 -0.00 0.30 -3.30 10.48 -0.03 0.88 0.76 777
0.04 -0.00 0.40 -3.31 10.88 -0.04 0.89 0.74 783
0.04 -0.00 0.32 -3.26 10.90 -0.08 0.91 0.72 789
0.04 -0.00 0.09 -3.37 10.68 -0.11 0.96 0.71 795
0.04 -0.00 -0.14 -3.50 10.67 -0.12 1.01 0.68 801
0.04 -0.00 -0.44 -3.59 10.71 -0.14 1.03 0.65 807
0.03 -0.00 -0.97 -3.59 10.43 -0.10 1.05 0.63 814
0.05 0.00 -1.48 -3.41 10.10 -0.11 1.05 0.62 820
0.05 -0.00 -1.92 -3.19 9.82 -0.07 1.03 0.63 827
0.04 -0.00 -2.43 -2.99 9.75 -0.01 1.01 0.64 833
0.03 -0.00 -2.95 -2.82 9.75 0.06 0.98 0.65 839
0.04 -0.00 -3.43 -2.71 9.82 0.13 0.93 0.67 845
0.04 -0.00 -3.84 -2.62 9.82 0.18 0.87 0.68 851
0.04 -0.00 -4.09 -2.55 9.88 0.22 0.79 0.68 858
0.04 -0.00 -4.32 -2.55 10.00 0.25 0.68 0.68 864
0.03 -0.00 -4.47 -2.55 10.05 0.26 0.55 0.68 870
0.03 -0.00 -4.44 -2.59 10.07 0.26 0.42 0.66 876
0.05 -0.01 -4.36 -2.54 10.02 0.25 0.29 0.65 882
0.04 -0.00 -3.98 -2.49 9.97 0.24 0.20 0.63 888
0.03 -0.00 -3.58 -2.44 9.92 0.20 0.15 0.61 894
0.02 -0.00 -3.38 -2.49 9.63 0.15 0.12 0.59 901
0.04 0.00 -3.34 -2.59 9.25 0.12 0.10 0.57 907
0.04 -0.00 -3.41 -2.73 8.87 0.12 0.07 0.57 913
0.03 -0.00 -3.46 -2.84 8.41 0.14 0.04 0.59 919
0.04 -0.00 -3.42 -2.84 8.09 0.19 -0.01 0.60 925
0.03 -0.00 -3.32 -2.76 7.74 0.25 -0.06 0.63 931
0.04 -0.00 -3.15 -2.39 7.39 0.30 -0.10 0.67 939
0.04 -0.00 -3.81 -1.89 7.18 0.34 -0.16 0.74 945
0.03 -0.00 -22.59 -4.97 26.99 0.19 -1.57 0.54 951
0.04 -0.00 -17.58 1.20 3.61 -0.29 -4.28 0.48 957
0.04 -0.00 -7.95 1.30 8.44 -0.16 -4.28 0.76 963
0.04 -0.00 -8.17 -6.91 9.81 -0.35 -4.28 0.83 969
0.04 -0.00 -5.85 -5.74 19.23 -0.08 -4.28 0.59 975
0.04 0.03 -11.75 0.69 32.34 0.47 -1.66 0.40 982
0.05 0.18 -5.73 0.86 9.42 -0.61 0.10 0.30 988
0.04 0.36 -6.12 -2.38 14.13 -0.55 -0.09 -0.06 995
0.03 0.46 -1.18 -1.03 12.75 -0.20 -0.05 -0.00 1001
0.02 0.46 0.86 -0.37 10.37 -0.01 -0.00 0.10 1007
0.02 0.46 1.68 0.54 9.67 0.04 0.01 0.17 1013
0.03 0.42 1.00 0.09 10.05 0.10 -0.01 0.18 1019
0.04 0.41 0.06 -0.94 10.40 0.11 -0.03 0.21 1026
0.07 0.39 0.65 -0.32 10.18 0.10 -0.06 0.20 1033
0.08 0.33 0.79 -0.52 9.70 0.08 -0.08 0.23 1039
0.08 0.28 0.43 -1.89 10.18 0.05 -0.08 0.23 1045
0.10 0.29 0.12 -1.86 9.82 -0.01 -0.05 0.17 1051
0.10 0.32 0.16 -1.50 9.78 -0.06 -0.02 0.11 1057
0.13 0.35 0.37 -0.64 9.83 -0.11 0.00 0.09 1063
0.10 0.41 0.62 -1.20 9.91 -0.14 0.01 0.07 1070
0.13 0.46 0.65 -0.95 10.30 -0.13 -0.00 0.05 1077
0.11 0.45 0.59 -0.79 10.37 -0.11 -0.01 0.04 1083
0.13 0.49 0.49 -0.76 10.19 -0.07 -0.02 0.04 1089
0.17 0.50 0.54 -0.76 10.05 -0.05 -0.02 0.04 1095
0.17 0.49 0.49 -0.82 9.91 -0.03 -0.02 0.05 1101
0.14 0.53 0.48 -0.84 9.97 -0.03 -0.02 0.05 1108
0.15 0.53 0.53 -0.92 9.99 -0.03 -0.02 0.05 1115
0.16 0.51 1.14 -0.88 9.97 -0.04 -0.02 0.05 1121
0.16 0.52 0.51 -0.88 10.08 -0.04 -0.01 0.04 1127
0.19 0.54 0.58 -0.82 9.98 -0.03 -0.01 0.04 1133
0.19 0.51 0.55 -0.86 10.05 -0.02 -0.01 0.04 1139
0.18 0.50 0.54 -0.87 10.09 -0.02 -0.01 0.04 1146
0.19 0.51 0.54 -0.87 10.01 -0.02 -0.01 0.03 1153
0.21 0.49 0.52 -0.87 9.92 -0.02 -0.01 0.03 1159
0.21 0.47 0.53 -0.83 9.99 -0.02 -0.00 0.03 1165
0.25 0.47 0.55 -0.85 10.00 -0.02 0.00 0.03 1171
0.26 0.46 0.54 -0.85 10.05 -0.02 0.01 0.03 1177
0.27 0.44 0.60 -0.82 10.06 -0.01 0.01 0.03 1184
0.27 0.44 0.57 -0.86 10.10 -0.01 0.02 0.03 1190
0.27 0.47 0.61 -0.85 10.04 -0.01 0.01 0.02 1197
0.24 0.43 0.63 -0.81 9.98 -0.00 0.02 0.02 1203
0.24 0.41 0.60 -0.83 10.03 -0.01 0.02 0.02 1209
