Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.06 0.00 1.85 -2.90 9.51 -0.87 1.35 0.09 23
0.07 -0.00 1.01 -2.98 9.76 -0.81 1.60 0.07 29
0.06 -0.01 0.10 -3.18 10.06 -0.74 1.73 0.07 35
0.06 -0.01 -1.15 -3.31 10.24 -0.73 1.73 0.07 41
0.06 -0.01 -1.25 -3.31 10.34 -0.68 1.63 0.08 48
0.06 -0.01 -1.64 -3.26 10.40 -0.65 1.45 0.10 54
0.07 -0.00 -1.88 -3.09 10.57 -0.63 1.22 0.14 60
0.07 -0.00 -1.84 -2.86 10.55 -0.63 0.96 0.18 66
0.06 -0.01 -1.62 -2.76 10.45 -0.64 0.73 0.22 72
0.06 -0.01 -1.36 -2.73 10.16 -0.67 0.56 0.25 78
0.06 0.01 -0.96 -2.75 9.83 -0.67 0.44 0.27 84
0.07 -0.01 -0.72 -2.89 9.55 -0.66 0.42 0.26 91
0.07 -0.00 -0.98 -4.26 8.94 -0.61 0.48 0.26 97
0.06 -0.01 -13.06 0.18 8.95 -0.17 -1.60 0.45 103
0.06 -0.00 -7.29 -1.25 8.60 -0.23 -2.12 0.60 110
0.07 -0.01 -6.06 -6.37 6.21 -0.17 -2.27 0.67 116
0.06 -0.00 -7.02 -8.02 7.81 -0.08 -2.67 0.70 122
0.06 -0.01 -7.14 -7.16 9.70 0.11 -2.87 0.63 129
0.06 -0.00 -7.14 -7.02 9.88 0.34 -2.87 0.56 135
0.06 0.00 -6.04 -6.05 9.85 0.54 -2.75 0.52 141
0.06 -0.01 -1.84 2.96 12.01 1.09 -1.58 0.44 147
0.06 -0.01 -18.69 -2.21 22.60 0.58 -1.64 0.25 153
0.06 0.01 -0.01 -1.59 13.53 0.03 -1.23 -0.20 159
0.06 0.05 -4.01 -2.18 13.66 -0.17 -0.27 -0.04 166
0.04 0.10 0.14 -0.47 9.83 -0.27 0.04 -0.05 173
0.04 0.16 0.48 -1.30 11.58 -0.32 -0.05 -0.04 179
0.03 0.27 1.05 -0.92 10.25 -0.17 0.05 0.01 185
0.04 0.34 1.01 -1.02 10.22 -0.10 0.09 0.05 191
0.02 0.51 0.79 -0.85 10.21 -0.09 0.11 0.09 197
