Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.16 0.90 0.58 -0.95 9.94 -0.00 -0.04 0.06 23
0.16 0.88 0.60 -0.96 9.92 0.00 -0.04 0.06 29
0.15 0.88 0.60 -0.95 9.90 -0.00 -0.03 0.06 35
0.15 0.84 0.63 -0.94 9.90 -0.00 -0.03 0.07 41
0.15 0.85 0.62 -0.92 9.94 -0.01 -0.03 0.06 48
0.16 0.85 0.63 -0.99 9.99 -0.00 -0.04 0.06 54
0.17 0.83 0.62 -0.98 9.90 -0.00 -0.04 0.06 60
0.16 0.85 0.63 -0.94 9.95 -0.00 -0.04 0.06 66
0.15 0.78 0.63 -0.95 9.94 -0.00 -0.04 0.06 72
0.16 0.73 0.62 -0.97 9.97 -0.00 -0.04 0.06 78
0.17 0.73 0.59 -0.97 9.96 0.00 -0.04 0.06 84
0.17 0.73 0.62 -0.99 9.97 0.00 -0.03 0.07 91
0.18 0.68 0.62 -1.00 9.95 0.00 -0.04 0.06 97
0.18 0.66 0.62 -0.96 9.96 0.00 -0.03 0.06 103
0.18 0.65 0.59 -0.97 9.98 0.00 -0.03 0.06 109
0.18 0.65 0.64 -0.95 9.94 0.01 -0.04 0.06 115
0.18 0.63 0.64 -0.96 9.95 0.00 -0.04 0.06 121
0.19 0.59 0.62 -0.95 9.95 0.01 -0.04 0.06 128
0.18 0.55 0.63 -0.97 9.94 0.01 -0.03 0.06 135
0.17 0.50 0.61 -0.98 9.98 0.01 -0.04 0.06 141
0.17 0.52 0.61 -0.97 9.93 0.02 -0.03 0.06 147
0.17 0.48 1.20 -1.00 9.96 0.01 -0.03 0.06 153
0.17 0.47 0.63 -1.00 9.97 0.02 -0.03 0.06 159
0.17 0.43 0.58 -0.99 9.98 0.02 -0.03 0.06 165
0.18 0.34 0.60 -0.97 9.97 0.03 -0.03 0.06 172
0.20 0.31 0.59 -0.96 9.98 0.03 -0.03 0.06 178
0.20 0.27 0.60 -1.00 9.95 0.03 -0.03 0.06 184
0.20 0.22 0.67 -1.02 9.97 0.03 -0.03 0.06 190
0.19 0.20 0.57 -1.01 10.00 0.04 -0.03 0.07 196
0.21 0.19 0.57 -0.95 9.99 0.04 -0.03 0.07 202
0.20 0.13 0.64 -1.00 10.07 0.05 -0.04 0.07 209
0.19 0.09 0.63 -0.99 10.10 0.06 -0.04 0.07 216
0.20 0.05 0.65 -0.94 9.94 0.07 -0.04 0.08 222
0.20 0.07 0.63 -1.22 10.19 0.09 -0.05 0.09 228
0.21 0.02 -1.31 -1.22 10.02 0.13 -0.08 0.13 234
0.20 0.03 1.27 -0.94 9.84 0.18 -0.06 0.13 240
0.22 0.00 -4.31 -0.67 11.21 0.36 -0.01 0.16 246
0.24 -0.01 1.60 -0.98 12.19 0.48 -0.28 0.43 253
0.22 0.00 1.80 -1.08 12.74 0.70 0.09 0.19 260
0.22 -0.01 -2.00 -1.13 12.70 1.00 0.11 0.24 266
0.22 -0.00 -1.71 -1.31 11.27 1.09 0.15 0.42 272
0.20 -0.01 -1.27 -1.18 11.24 1.14 0.12 0.55 278
0.18 -0.01 -2.22 -1.30 11.65 1.23 0.07 0.69 284
0.16 -0.01 -2.87 -1.24 11.74 1.34 -0.03 0.87 290
0.15 -0.01 -3.33 -0.96 11.20 1.43 -0.18 1.05 297
0.15 -0.01 -3.63 -0.72 11.52 1.49 -0.35 1.28 304
0.12 0.02 -3.26 -0.52 11.84 1.50 -0.57 1.49 310
0.12 0.00 -3.46 -0.12 12.50 1.47 -0.75 1.68 316
0.10 -0.01 -2.88 -0.21 12.09 1.45 -0.92 1.82 322
0.09 0.00 -2.24 -0.35 11.85 1.41 -1.04 1.94 328
0.09 0.01 -1.82 -0.80 12.66 1.34 -1.16 2.03 335
0.07 -0.00 -2.15 -0.42 12.45 1.27 -1.27 2.10 342
0.06 -0.00 -1.32 -0.58 12.52 1.24 -1.28 2.17 348
0.07 -0.00 -1.69 -0.60 10.55 1.23 -1.36 2.25 354
0.07 -0.00 -1.50 -1.14 10.66 1.17 -1.37 2.31 360
0.06 0.00 -1.97 -1.28 10.64 1.15 -1.33 2.33 366
0.07 0.01 -2.00 -1.31 10.49 1.14 -1.34 2.31 373
0.06 -0.00 -2.61 -1.31 10.38 1.13 -1.36 2.28 379
0.05 0.00 -3.29 -1.15 10.39 1.10 -1.37 2.20 386
0.06 0.01 -3.73 -0.75 10.40 1.06 -1.42 2.09 392
0.06 -0.00 -3.64 -0.70 10.87 0.98 -1.46 1.93 398
0.05 -0.01 -4.36 -0.55 11.09 0.87 -1.51 1.76 404
0.05 -0.00 -4.72 -0.52 10.75 0.80 -1.58 1.59 410
0.07 -0.01 -5.04 -0.35 10.63 0.74 -1.71 1.33 417
0.05 -0.01 -4.78 -0.32 10.51 0.68 -1.84 1.09 423
0.05 -0.00 -4.50 -0.24 10.69 0.58 -1.93 0.84 430
0.05 -0.00 -4.11 -0.20 10.68 0.51 -2.01 0.57 436
0.06 -0.01 -3.72 -0.36 10.55 0.42 -2.09 0.31 442
0.05 0.00 -3.33 -0.50 10.39 0.36 -2.17 0.07 448
0.05 -0.00 -2.96 -0.61 10.28 0.31 -2.22 -0.12 454
0.06 -0.00 -2.34 -0.75 10.17 0.27 -2.26 -0.31 460
