Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
0.09 0.25 0.74 -1.12 9.96 0.01 -0.02 0.04 555
0.09 0.25 0.72 -1.12 10.07 0.01 -0.02 0.04 561
0.08 0.24 0.73 -1.17 10.03 0.00 -0.02 0.04 567
0.09 0.25 0.70 -1.12 10.05 0.01 -0.02 0.04 573
0.08 0.22 0.73 -1.12 10.04 0.00 -0.02 0.04 579
0.06 0.21 0.70 -1.19 10.09 0.00 -0.02 0.05 585
0.07 0.19 0.75 -1.15 10.04 0.01 -0.02 0.05 592
0.08 0.21 0.74 -1.17 9.94 0.01 -0.03 0.06 599
0.07 0.22 0.70 -1.13 10.03 0.01 -0.03 0.06 605
0.06 0.23 0.68 -1.20 10.03 0.01 -0.03 0.07 611
0.07 0.22 0.65 -1.13 10.04 0.01 -0.04 0.08 617
0.10 0.22 0.59 -1.11 10.00 0.02 -0.04 0.09 623
0.09 0.20 0.54 -1.10 10.03 0.02 -0.05 0.11 629
0.10 0.20 0.61 -1.11 10.00 0.02 -0.06 0.13 635
0.12 0.17 0.51 -1.06 10.00 0.03 -0.07 0.15 643
0.10 0.14 0.44 -0.99 10.10 0.03 -0.09 0.20 649
0.09 0.14 0.46 -1.01 10.00 0.03 -0.09 0.19 655
0.11 0.13 0.46 -1.01 9.99 0.04 -0.09 0.22 661
0.12 0.13 0.47 -1.01 10.16 0.04 -0.09 0.25 667
0.11 0.10 0.42 -1.06 10.02 0.05 -0.09 0.27 673
0.11 0.11 0.54 -1.11 10.20 0.05 -0.10 0.30 679
0.13 0.09 0.61 -1.05 10.27 0.07 -0.10 0.32 686
0.12 0.09 0.92 -1.19 10.38 0.10 -0.08 0.32 693
0.12 0.07 1.05 -1.36 10.36 0.15 -0.07 0.29 699
0.13 0.09 1.06 -1.34 10.38 0.19 -0.05 0.26 705
0.16 0.08 0.88 -1.26 10.31 0.23 -0.04 0.23 711
0.13 0.08 0.84 -1.34 10.25 0.26 -0.05 0.22 717
0.12 0.08 0.71 -1.27 10.27 0.29 -0.05 0.20 723
