Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.26 0.12 0.82 -0.86 9.99 -0.02 -0.06 -0.00 23
0.24 0.13 0.82 -0.85 9.96 -0.02 -0.05 -0.00 29
0.23 0.16 0.83 -0.86 9.96 -0.02 -0.06 -0.00 35
0.21 0.19 0.79 -0.84 10.02 -0.03 -0.06 0.00 41
0.21 0.19 0.80 -0.86 10.02 -0.02 -0.06 0.00 48
0.20 0.19 0.84 -0.81 9.99 -0.02 -0.06 0.00 54
0.21 0.18 0.82 -0.83 9.98 -0.02 -0.06 0.01 60
0.18 0.24 0.83 -0.86 10.00 -0.02 -0.07 0.01 66
0.21 0.27 0.82 -0.80 10.03 -0.02 -0.07 0.01 72
0.22 0.25 0.79 -0.88 10.04 -0.01 -0.07 0.01 78
0.21 0.26 0.78 -0.82 9.95 -0.01 -0.06 0.01 84
0.21 0.26 0.81 -0.80 10.08 -0.00 -0.06 0.01 91
0.19 0.24 0.81 -0.84 10.07 0.00 -0.05 0.00 97
0.22 0.22 0.83 -0.83 10.08 0.01 -0.05 -0.00 104
0.22 0.17 0.85 -0.89 10.08 0.02 -0.06 -0.00 110
0.21 0.12 0.86 -0.87 10.10 0.03 -0.06 -0.01 116
0.22 0.09 0.88 -0.91 10.07 0.03 -0.07 -0.01 122
0.25 0.05 0.87 -0.94 10.10 0.04 -0.07 -0.02 129
0.25 0.04 0.82 -0.90 10.19 0.06 -0.08 -0.02 135
0.25 0.02 0.83 -0.87 10.14 0.08 -0.08 -0.03 141
0.26 0.01 0.79 -0.88 10.16 0.11 -0.09 -0.03 148
0.28 0.00 0.80 -0.89 10.24 0.15 -0.10 -0.03 154
0.29 -0.03 0.83 -1.07 10.37 0.19 -0.11 -0.04 160
0.30 -0.03 0.83 -0.83 10.30 0.25 -0.12 -0.05 166
0.32 -0.02 0.99 -1.07 10.50 0.31 -0.16 -0.08 173
0.34 -0.03 1.07 -1.29 10.66 0.38 -0.22 -0.11 179
0.34 -0.03 1.61 -1.41 11.28 0.52 -0.30 -0.17 185
0.35 -0.02 2.27 -1.67 12.66 0.73 -0.45 -0.26 191
0.37 -0.03 2.92 -1.99 12.69 0.99 -0.64 -0.40 198
0.35 -0.03 2.47 -1.90 14.07 1.32 -0.87 -0.51 204
0.36 -0.03 2.35 -2.05 14.31 1.56 -1.15 -0.59 210
0.35 -0.03 2.59 -2.28 13.39 1.66 -1.39 -0.66 217
0.33 -0.03 3.50 -2.65 13.56 1.72 -1.54 -0.78 223
0.31 -0.02 3.43 -2.47 13.41 1.77 -1.69 -0.90 229
0.29 -0.01 4.08 -3.26 13.22 1.80 -1.81 -1.04 236
0.24 -0.01 4.17 -3.16 12.91 1.80 -1.92 -1.19 242
0.22 -0.02 4.06 -3.26 12.48 1.79 -1.97 -1.36 248
0.18 -0.01 4.57 -3.59 13.03 1.75 -1.94 -1.51 254
0.15 -0.01 4.89 -4.69 13.22 1.73 -1.87 -1.69 261
0.09 -0.01 5.21 -4.04 13.46 1.70 -1.75 -1.88 267
0.07 -0.01 5.52 -4.20 12.45 1.64 -1.62 -2.06 273
0.08 -0.01 6.21 -3.98 11.54 1.57 -1.51 -2.23 280
0.08 -0.01 5.53 -3.83 11.29 1.50 -1.35 -2.43 286
0.06 -0.01 6.34 -2.66 12.25 1.41 -1.29 -2.59 292
0.07 -0.00 4.50 -3.72 12.92 1.30 -1.28 -2.73 299
0.06 -0.01 4.05 -2.97 13.49 1.16 -1.49 -2.86 305
0.06 -0.01 2.86 -2.65 13.11 0.97 -1.84 -2.99 311
0.06 -0.01 1.66 -2.01 11.80 0.74 -2.20 -3.07 317
0.05 -0.01 1.52 -0.99 10.23 0.52 -2.47 -3.07 323
0.05 -0.00 2.64 -0.15 8.83 0.27 -2.70 -2.98 329
0.04 -0.00 4.28 0.22 7.74 0.07 -2.88 -2.74 336
0.03 -0.00 8.39 0.87 7.90 -0.06 -2.93 -2.30 343
0.04 -0.00 10.32 -0.11 8.20 -0.13 -2.68 -1.60 349
0.07 -0.01 16.42 0.14 8.77 -0.23 -1.97 -0.36 355
0.03 -0.00 17.04 0.80 9.90 -0.32 -0.95 0.60 361
0.03 -0.00 16.69 0.59 9.18 -0.64 -0.29 1.28 367
0.03 -0.00 13.41 -0.03 8.55 -0.98 0.27 1.78 373
0.04 -0.00 9.76 -0.16 8.46 -1.08 0.66 2.21 379
0.03 -0.00 7.22 -0.91 7.54 -1.04 0.88 2.46 386
0.03 -0.00 5.56 -1.59 6.58 -0.97 0.95 2.54 392
0.04 -0.00 4.87 -1.91 6.42 -0.86 0.99 2.48 398
0.04 -0.00 3.99 -1.98 6.73 -0.74 1.10 2.40 404
0.05 0.00 3.19 -1.68 7.27 -0.61 1.29 2.26 410
0.05 -0.00 2.36 -1.29 7.72 -0.53 1.46 2.11 416
0.05 -0.01 1.45 -0.86 8.32 -0.46 1.58 1.94 422
0.04 -0.00 0.73 -0.55 9.16 -0.45 1.66 1.76 429
0.05 -0.01 -0.15 -0.44 9.70 -0.47 1.68 1.63 436
0.05 -0.01 -1.15 -0.36 10.37 -0.53 1.62 1.47 442
0.05 -0.00 -1.72 -0.38 10.91 -0.63 1.51 1.30 448
0.05 -0.00 -2.09 -0.40 11.23 -0.72 1.39 1.13 454
0.05 -0.00 -2.25 -0.53 11.25 -0.87 1.30 0.96 460
0.04 -0.00 -2.39 -0.75 11.34 -0.99 1.21 0.79 466
0.05 -0.01 -2.21 -1.10 11.30 -1.10 1.16 0.66 473
0.04 -0.00 -2.03 -1.34 11.01 -1.16 1.14 0.51 479
0.03 -0.00 -1.85 -1.61 10.54 -1.19 1.15 0.38 485
0.05 -0.00 -1.79 -1.92 10.01 -1.19 1.19 0.26 491
0.05 -0.00 -1.78 -2.33 9.89 -1.15 1.26 0.15 498
0.04 -0.00 -1.69 -2.54 9.79 -1.07 1.29 0.08 504
0.03 -0.00 -1.60 -2.64 9.81 -0.97 1.35 0.01 510
0.04 -0.00 -1.68 -2.62 9.70 -0.85 1.41 -0.03 517
0.06 -0.01 -1.80 -2.53 9.69 -0.71 1.44 -0.05 523
0.03 -0.00 -1.98 -2.38 9.67 -0.62 1.43 -0.05 529
0.04 -0.00 -2.22 -2.36 10.04 -0.51 1.41 -0.04 535
0.04 -0.00 -2.45 -2.24 10.23 -0.39 1.38 -0.02 541
