Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
0.05 -0.00 -8.37 -7.42 8.88 0.01 -0.97 -1.60 534
0.04 -0.00 -7.31 -6.57 8.08 -0.15 -0.73 -1.71 540
0.06 0.01 -5.31 -5.68 6.12 -0.16 -0.12 -1.86 546
0.05 -0.01 -3.10 -1.55 6.51 -0.10 0.48 -1.87 552
0.08 -0.01 -2.00 1.69 7.24 -0.06 0.97 -1.68 559
0.08 -0.01 -3.96 4.27 10.83 -0.20 1.43 -1.25 566
0.07 -0.00 -4.71 3.83 14.07 -0.39 1.15 -0.69 572
0.06 -0.00 -1.24 0.85 10.65 -0.45 0.51 -0.03 578
0.08 -0.01 1.25 -1.03 10.36 -0.60 0.31 0.19 584
0.09 0.02 1.91 -1.82 9.10 -0.39 -0.12 0.10 590
0.09 0.10 -0.03 -1.06 10.05 -0.24 0.03 0.05 596
0.12 0.15 0.46 -1.46 10.39 -0.23 0.08 0.08 603
0.12 0.25 1.00 -1.26 10.37 -0.18 0.07 0.11 610
0.09 0.37 1.06 -0.78 10.27 -0.11 0.04 0.11 616
0.11 0.39 1.06 -0.61 10.04 -0.06 0.02 0.08 622
0.11 0.37 -0.11 0.40 10.57 -0.04 -0.00 0.07 628
0.09 0.40 0.68 -0.81 10.03 -0.02 -0.02 0.05 634
0.12 0.42 0.62 -0.81 10.01 -0.01 -0.02 0.05 641
0.15 0.43 0.53 -0.79 9.94 -0.01 -0.02 0.06 647
0.14 0.42 0.53 -0.83 9.88 -0.01 -0.01 0.06 653
0.15 0.42 0.58 -0.85 9.88 -0.02 -0.01 0.07 659
0.18 0.42 0.69 -0.84 9.92 -0.03 -0.02 0.06 666
0.20 0.42 0.72 -0.86 9.90 -0.04 -0.02 0.07 672
0.17 0.40 0.67 -0.77 9.97 -0.03 -0.03 0.07 678
0.16 0.39 0.72 -0.81 9.95 -0.03 -0.04 0.06 685
0.24 0.40 0.68 -0.84 9.99 -0.03 -0.04 0.06 691
0.24 0.40 0.66 -0.83 9.95 -0.03 -0.05 0.06 697
0.25 0.39 0.63 -0.80 9.95 -0.02 -0.04 0.06 703
0.26 0.38 0.66 -0.78 9.98 -0.02 -0.04 0.07 709
0.27 0.41 0.58 -0.82 9.95 -0.01 -0.03 0.07 715
0.32 0.42 0.62 -0.79 10.02 -0.01 -0.03 0.08 721
0.31 0.40 0.63 -0.78 9.95 -0.01 -0.03 0.08 729
0.31 0.40 0.68 -0.76 9.97 -0.01 -0.03 0.08 735
0.31 0.41 0.68 -0.80 9.96 -0.01 -0.02 0.08 741
0.32 0.39 0.63 -0.77 10.00 -0.01 -0.02 0.08 747
0.31 0.38 0.68 -0.80 9.95 -0.01 -0.02 0.08 753
0.29 0.35 0.65 -0.79 9.98 -0.00 -0.02 0.09 759
0.28 0.36 0.64 -0.76 10.01 -0.01 -0.02 0.08 765
0.29 0.35 0.65 -0.78 9.96 -0.01 -0.02 0.09 772
0.27 0.33 0.67 -0.82 9.93 -0.00 -0.03 0.09 778
0.27 0.32 0.61 -0.82 9.93 -0.01 -0.03 0.08 784
0.27 0.32 0.65 -0.78 9.93 -0.01 -0.03 0.09 790
0.28 0.34 0.65 -0.79 9.92 -0.01 -0.03 0.09 797
0.30 0.33 0.68 -0.77 9.92 -0.01 -0.03 0.09 803
0.29 0.30 0.63 -0.81 9.91 -0.01 -0.03 0.09 809
0.28 0.31 0.63 -0.81 9.96 -0.01 -0.03 0.09 816
0.29 0.33 0.65 -0.79 9.92 -0.01 -0.03 0.09 822
0.30 0.33 0.67 -0.80 9.94 -0.01 -0.03 0.10 828
0.27 0.33 0.65 -0.76 9.93 -0.01 -0.03 0.10 834
0.25 0.34 0.62 -0.77 9.94 -0.01 -0.02 0.09 840
0.26 0.34 0.63 -0.78 9.94 -0.01 -0.02 0.09 846
0.29 0.34 0.64 -0.78 9.95 -0.01 -0.02 0.09 852
0.27 0.34 0.67 -0.77 9.97 -0.01 -0.02 0.10 859
0.27 0.34 0.66 -0.79 9.92 -0.01 -0.02 0.10 866
0.26 0.38 0.67 -0.80 9.94 -0.01 -0.02 0.10 872
0.27 0.40 0.67 -0.78 9.91 -0.01 -0.02 0.10 878
0.26 0.40 0.69 -0.81 9.96 -0.02 -0.02 0.11 884
0.25 0.39 0.68 -0.80 9.91 -0.02 -0.02 0.10 890
0.23 0.41 0.69 -0.78 9.93 -0.02 -0.02 0.10 897
0.23 0.43 0.70 -0.75 9.94 -0.02 -0.02 0.11 903
0.21 0.44 0.66 -0.75 9.97 -0.02 -0.02 0.11 909
0.20 0.40 0.67 -0.78 9.95 -0.01 -0.03 0.11 915
0.19 0.43 0.66 -0.75 9.91 -0.01 -0.03 0.11 921
0.19 0.44 0.68 -0.79 9.93 -0.01 -0.03 0.10 927
0.19 0.46 0.62 -0.80 9.93 -0.02 -0.03 0.10 934
0.17 0.44 0.67 -0.76 9.93 -0.02 -0.03 0.11 941
0.16 0.45 0.69 -0.77 9.95 -0.01 -0.04 0.10 947
0.17 0.46 0.67 -0.76 9.93 -0.01 -0.04 0.11 953
0.18 0.45 0.68 -0.75 9.94 -0.01 -0.04 0.11 959
0.17 0.45 0.67 -0.74 9.96 -0.01 -0.04 0.11 965
0.15 0.47 0.63 -0.75 9.92 -0.01 -0.04 0.10 971
0.16 0.49 0.68 -0.76 9.95 -0.00 -0.04 0.11 977
0.17 0.49 0.64 -0.77 9.93 -0.01 -0.04 0.10 984
0.16 0.49 0.68 -0.76 9.87 -0.01 -0.04 0.11 990
0.16 0.47 0.69 -0.76 9.91 -0.01 -0.04 0.11 997
0.17 0.48 0.67 -0.74 9.92 -0.01 -0.04 0.10 1003
0.18 0.49 0.67 -0.74 9.95 -0.01 -0.04 0.11 1009
0.17 0.48 0.68 -0.73 9.93 -0.01 -0.04 0.10 1015
0.17 0.49 0.68 -0.75 9.97 -0.01 -0.05 0.10 1021
0.18 0.50 0.67 -0.73 9.95 -0.01 -0.05 0.11 1028
0.17 0.51 0.71 -0.77 9.92 -0.01 -0.05 0.11 1034
0.18 0.50 0.66 -0.78 9.92 -0.01 -0.05 0.10 1041
0.19 0.51 0.70 -0.78 9.91 -0.01 -0.05 0.09 1047
0.19 0.49 0.67 -0.79 9.96 -0.01 -0.05 0.10 1053
0.19 0.47 0.67 -0.76 9.93 -0.01 -0.05 0.10 1059
0.20 0.46 0.69 -0.77 9.96 -0.00 -0.05 0.10 1065
