Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.09 -0.01 -1.62 -1.11 11.18 1.32 -0.89 2.00 23
0.08 -0.01 -1.05 -1.00 11.19 1.28 -0.90 2.06 29
0.07 -0.01 -0.63 -1.22 10.82 1.24 -0.84 2.12 35
0.06 -0.00 -0.50 -1.69 10.46 1.23 -0.79 2.16 41
0.07 -0.01 -0.86 -1.86 10.29 1.21 -0.77 2.18 48
0.08 -0.01 -1.03 -1.71 10.10 1.19 -0.81 2.20 54
0.07 -0.01 -1.20 -1.35 9.98 1.15 -0.89 2.18 60
0.06 -0.01 -1.18 -1.12 9.75 1.09 -0.99 2.17 66
0.07 -0.00 -1.55 -0.85 9.55 1.03 -1.07 2.14 72
0.08 -0.01 -1.11 -0.33 9.82 0.95 -1.14 2.05 78
0.08 -0.01 -1.12 -0.32 9.77 0.84 -1.18 1.95 84
0.08 -0.01 -1.49 -0.17 9.92 0.76 -1.17 1.84 91
0.08 -0.01 -0.88 -0.42 9.98 0.67 -1.17 1.67 97
0.07 -0.01 -1.38 -0.16 10.23 0.60 -1.18 1.48 103
0.07 -0.00 -1.04 -0.20 9.82 0.51 -1.19 1.31 109
0.07 -0.01 -0.81 -0.09 9.59 0.44 -1.18 1.12 115
0.07 -0.01 -1.20 -0.08 8.66 0.36 -1.22 0.95 122
0.06 -0.01 -1.54 0.01 9.95 0.30 -1.30 0.80 129
0.07 -0.01 0.34 -0.29 9.32 0.24 -1.38 0.63 135
0.07 -0.01 -1.49 0.01 10.49 0.17 -1.45 0.51 141
0.06 -0.01 -0.70 -0.34 9.91 0.11 -1.52 0.38 147
0.06 -0.01 0.18 -0.30 10.02 0.03 -1.58 0.29 153
0.05 -0.01 1.06 -0.38 10.11 -0.04 -1.59 0.18 159
0.07 -0.00 1.46 -0.60 9.93 -0.10 -1.57 0.07 165
0.08 -0.01 1.43 -0.64 10.15 -0.16 -1.48 -0.02 172
