Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.06 0.12 0.97 -0.69 9.96 -0.01 -0.06 0.01 17
0.06 0.11 1.00 -0.67 10.01 -0.01 -0.07 0.02 23
0.06 0.09 0.98 -0.74 9.99 -0.01 -0.07 0.01 29
0.07 0.07 0.98 -0.71 9.99 -0.01 -0.07 0.02 35
0.07 0.08 0.92 -0.68 10.06 -0.00 -0.07 0.02 41
0.07 0.07 0.99 -0.71 9.97 -0.01 -0.07 0.01 48
0.08 0.07 0.91 -0.73 9.96 -0.01 -0.07 0.01 54
0.08 0.07 0.92 -0.77 9.93 -0.01 -0.07 0.02 60
0.08 0.07 0.91 -0.74 10.01 -0.01 -0.07 0.02 66
0.09 0.09 0.96 -0.70 9.99 -0.02 -0.06 0.03 72
0.09 0.09 0.93 -0.73 10.02 -0.02 -0.06 0.03 78
0.09 0.08 0.92 -0.69 9.98 -0.01 -0.06 0.03 84
0.08 0.08 0.93 -0.72 9.96 -0.01 -0.05 0.03 91
0.07 0.10 0.90 -0.70 10.02 -0.01 -0.05 0.03 97
0.08 0.09 0.95 -0.69 10.02 -0.00 -0.05 0.04 103
0.09 0.10 0.91 -0.71 10.01 -0.01 -0.05 0.04 109
0.08 0.09 0.93 -0.71 10.00 -0.01 -0.05 0.04 116
0.08 0.10 0.90 -0.70 9.98 -0.00 -0.05 0.04 122
0.08 0.13 0.94 -0.69 10.00 -0.00 -0.05 0.04 129
0.08 0.13 0.95 -0.71 9.97 -0.00 -0.05 0.04 135
0.07 0.11 0.95 -0.68 9.98 -0.00 -0.05 0.04 141
0.07 0.13 0.93 -0.74 9.98 -0.01 -0.05 0.05 147
0.08 0.14 0.94 -0.71 9.94 -0.01 -0.04 0.04 153
0.09 0.13 0.92 -0.71 9.98 -0.01 -0.04 0.04 159
0.08 0.14 0.95 -0.72 10.03 -0.00 -0.04 0.04 165
0.07 0.13 0.96 -0.65 9.98 -0.01 -0.04 0.04 172
0.08 0.13 0.97 -0.69 9.95 -0.00 -0.04 0.04 178
0.09 0.14 0.93 -0.72 9.98 -0.00 -0.04 0.04 184
0.09 0.12 0.95 -0.69 9.99 -0.00 -0.07 0.04 191
0.08 0.12 0.94 -0.72 9.97 -0.00 -0.04 0.05 197
0.07 0.12 0.95 -0.69 9.98 0.00 -0.03 0.04 203
0.07 0.14 0.97 -0.67 10.01 0.01 -0.03 0.04 209
0.09 0.11 0.97 -0.69 10.05 0.01 -0.03 0.04 216
0.08 0.08 1.03 -0.77 10.13 0.01 -0.03 0.04 222
0.07 0.07 0.98 -0.73 9.97 0.02 -0.03 0.04 228
0.08 0.09 1.00 -0.71 10.02 0.02 -0.03 0.04 234
0.08 0.06 0.99 -0.69 10.01 0.02 -0.03 0.04 240
0.09 0.03 1.02 -0.75 10.00 0.02 -0.04 0.04 246
