Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
0.11 0.90 0.60 -0.76 9.96 -0.02 -0.03 0.10 546
0.12 0.90 0.64 -0.75 9.96 -0.01 -0.03 0.10 552
0.12 0.90 0.63 -0.71 9.98 -0.01 -0.03 0.10 559
0.13 0.91 0.59 -0.77 9.93 -0.01 -0.03 0.10 565
0.13 0.89 0.63 -0.75 9.91 -0.01 -0.03 0.10 571
0.12 0.90 0.62 -0.75 9.94 -0.01 -0.03 0.10 578
0.11 0.91 0.61 -0.77 9.95 -0.02 -0.03 0.10 584
0.12 0.92 0.61 -0.75 9.99 -0.02 -0.03 0.10 590
0.12 0.91 0.60 -0.75 9.97 -0.01 -0.03 0.10 596
0.12 0.92 1.19 -0.76 9.93 -0.02 -0.03 0.10 603
0.11 0.92 0.56 -0.79 9.98 -0.02 -0.03 0.10 609
0.11 0.92 0.58 -0.81 9.92 -0.02 -0.03 0.11 615
0.13 0.91 0.60 -0.71 9.95 -0.02 -0.02 0.11 621
0.13 0.90 0.59 -0.72 9.96 -0.02 -0.02 0.11 627
0.13 0.90 0.63 -0.73 9.97 -0.01 -0.02 0.12 633
0.12 0.91 1.20 -0.75 9.94 -0.01 -0.01 0.12 640
0.13 0.88 0.57 -0.73 9.94 -0.01 -0.01 0.11 647
0.14 0.86 0.59 -0.74 9.92 -0.01 -0.01 0.11 653
0.13 0.85 0.60 -0.73 9.94 -0.01 -0.01 0.11 659
0.13 0.85 0.61 -0.73 9.93 -0.01 -0.01 0.12 665
0.16 0.83 0.62 -0.74 9.94 -0.00 -0.01 0.11 671
0.15 0.83 0.58 -0.72 9.91 0.00 -0.01 0.11 677
0.15 0.84 0.60 -0.74 10.01 -0.00 -0.00 0.12 684
0.16 0.85 0.63 -0.75 9.93 -0.01 -0.00 0.12 690
0.16 0.87 0.62 -0.77 9.96 -0.00 0.00 0.11 696
0.16 0.87 0.65 -0.73 9.97 -0.00 0.00 0.13 702
0.17 0.87 0.62 -0.73 9.91 0.00 0.01 0.13 708
0.15 0.92 0.61 -0.74 9.94 -0.00 0.01 0.13 715
0.16 0.92 0.59 -0.74 9.94 0.00 0.01 0.13 721
0.17 0.90 0.61 -0.75 9.91 -0.00 0.02 0.13 728
0.16 0.91 0.61 -0.72 9.94 0.00 0.03 0.13 734
0.15 0.90 0.65 -0.73 9.92 0.00 0.04 0.14 740
0.15 0.91 0.64 -0.71 9.95 0.01 0.05 0.14 746
0.16 0.91 0.69 -0.73 9.90 0.01 0.05 0.14 752
0.14 0.91 0.62 -0.69 9.90 0.01 0.06 0.15 758
0.11 0.89 0.69 -0.77 9.92 0.01 0.06 0.15 764
0.13 0.88 0.69 -0.77 9.95 0.01 0.05 0.15 771
0.12 0.86 0.68 -0.73 9.91 0.01 0.05 0.14 777
0.11 0.84 0.71 -0.74 9.95 0.00 0.04 0.14 783
0.11 0.82 0.73 -0.75 9.89 0.00 0.04 0.14 790
0.10 0.81 0.74 -0.73 9.94 0.00 0.03 0.14 796
0.10 0.79 0.73 -0.75 9.91 0.00 0.03 0.14 802
0.12 0.77 0.72 -0.74 9.94 0.00 0.02 0.13 808
0.12 0.76 0.70 -0.75 9.94 -0.00 0.02 0.12 815
0.12 0.75 0.74 -0.79 9.95 -0.00 0.01 0.12 821
0.12 0.75 0.76 -0.74 9.90 0.00 0.00 0.12 827
