Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.05 0.29 1.04 -0.64 9.96 -0.01 -0.02 0.04 23
0.05 0.26 1.03 -0.65 9.96 -0.01 -0.02 0.04 29
0.05 0.28 1.04 -0.69 9.89 -0.01 -0.02 0.04 35
0.04 0.27 1.05 -0.68 9.95 -0.02 -0.02 0.03 41
0.04 0.29 1.03 -0.66 9.98 -0.02 -0.02 0.04 48
0.04 0.28 1.08 -0.63 9.98 -0.02 -0.02 0.04 54
0.05 0.26 1.04 -0.68 9.98 -0.01 -0.03 0.04 60
0.05 0.27 1.05 -0.68 10.01 -0.01 -0.04 0.04 66
0.04 0.27 1.04 -0.66 9.95 -0.01 -0.05 0.03 72
0.03 0.30 1.07 -0.67 9.97 -0.01 -0.06 0.03 78
0.04 0.31 1.07 -0.66 9.96 -0.01 -0.06 0.03 84
0.05 0.29 1.08 -0.64 9.93 -0.01 -0.07 0.03 91
0.04 0.26 1.02 -0.67 9.96 -0.01 -0.07 0.03 97
0.04 0.24 1.04 -0.65 9.97 -0.01 -0.06 0.03 103
0.04 0.25 1.05 -0.69 10.01 -0.01 -0.06 0.03 109
0.05 0.27 1.04 -0.68 9.98 -0.01 -0.05 0.04 115
0.04 0.25 0.98 -0.67 9.99 -0.01 -0.05 0.04 122
0.03 0.25 1.04 -0.66 9.99 -0.02 -0.05 0.04 129
0.04 0.26 1.03 -0.67 9.94 -0.01 -0.05 0.04 135
0.03 0.28 1.00 -0.66 9.91 -0.01 -0.05 0.04 141
0.05 0.27 1.02 -0.65 9.97 -0.01 -0.06 0.04 147
0.04 0.27 0.99 -0.65 9.94 -0.01 -0.06 0.04 153
0.03 0.28 1.03 -0.61 9.94 -0.01 -0.06 0.03 159
0.04 0.27 1.02 -0.63 9.98 -0.00 -0.06 0.03 165
0.06 0.27 1.04 -0.66 9.95 -0.01 -0.06 0.03 172
0.06 0.26 1.03 -0.68 9.94 -0.01 -0.06 0.03 178
0.06 0.26 0.99 -0.66 9.97 -0.01 -0.07 0.03 184
0.05 0.24 1.01 -0.65 9.86 -0.01 -0.07 0.03 190
0.05 0.28 0.98 -0.64 9.99 -0.01 -0.07 0.03 197
0.05 0.26 1.01 -0.68 10.02 -0.01 -0.07 0.03 203
0.06 0.24 0.99 -0.67 10.02 -0.01 -0.07 0.04 209
0.03 0.25 0.99 -0.63 9.96 -0.01 -0.07 0.03 216
0.06 0.26 1.02 -0.67 9.99 -0.01 -0.07 0.03 222
0.06 0.24 1.00 -0.67 9.98 -0.01 -0.07 0.03 228
0.06 0.21 0.96 -0.66 10.01 -0.01 -0.07 0.04 234
0.04 0.22 1.01 -0.69 10.03 -0.01 -0.06 0.04 240
0.04 0.24 1.02 -0.65 10.01 -0.01 -0.06 0.03 246
0.05 0.24 1.00 -0.64 10.01 -0.00 -0.06 0.04 253
0.05 0.24 0.99 -0.67 10.02 -0.00 -0.07 0.04 260
0.05 0.26 0.99 -0.63 9.95 0.03 -0.06 0.04 266
0.06 0.25 1.01 -0.71 9.96 0.00 -0.07 0.04 272
0.06 0.22 1.00 -0.66 9.92 0.00 -0.07 0.04 278
0.05 0.25 1.00 -0.68 9.98 0.00 -0.06 0.04 284
0.03 0.23 1.03 -0.65 10.00 0.01 -0.06 0.04 290
0.03 0.24 1.03 -0.63 10.01 0.02 -0.05 0.04 296
0.04 0.19 1.09 -0.63 9.97 0.02 -0.04 0.03 303
0.04 0.15 1.06 -0.78 10.10 0.03 -0.03 0.04 309
0.03 0.14 1.07 -0.71 9.99 0.03 -0.02 0.04 315
0.04 0.13 0.99 -0.71 9.99 0.04 -0.01 0.03 322
0.06 0.04 1.27 -0.83 9.94 0.04 -0.01 0.02 328
0.05 0.04 1.19 -0.82 10.08 0.04 0.01 0.01 334
0.04 0.04 1.10 -0.86 10.08 0.04 0.03 -0.01 340
0.05 0.02 1.29 -0.76 9.99 0.05 0.04 -0.03 347
0.06 0.01 1.13 -0.75 10.12 0.06 0.05 -0.05 353
0.06 -0.01 1.28 -0.93 9.85 0.08 0.06 -0.06 359
0.05 -0.01 1.34 -0.80 10.10 0.12 0.06 -0.07 365
0.05 -0.00 1.35 -0.99 10.21 0.19 0.05 -0.09 371
0.05 -0.00 1.18 -0.74 10.42 0.24 0.02 -0.13 377
0.06 -0.01 2.03 -3.63 10.71 0.38 -0.01 -0.19 384
0.05 -0.01 0.57 -0.21 12.59 0.70 0.07 -0.22 391
0.05 -0.01 1.56 -0.76 14.15 1.29 0.38 -0.24 397
0.05 -0.01 1.25 -0.58 15.26 1.87 0.80 -0.29 403
0.05 -0.00 0.86 -1.15 16.28 2.12 1.38 -0.30 409
0.04 -0.00 0.50 -1.01 14.83 2.18 1.85 -0.25 415
0.04 -0.00 0.36 -1.59 14.73 2.15 2.13 -0.16 421
0.05 0.00 0.12 -2.25 14.02 2.11 2.42 -0.06 428
0.05 -0.01 -0.02 -2.45 15.12 2.12 2.70 0.06 434
0.05 -0.00 0.33 -2.65 14.54 2.12 2.91 0.20 440
0.03 -0.00 0.40 -3.33 15.10 2.12 3.11 0.33 446
0.05 0.00 0.13 -3.32 15.66 2.11 3.26 0.43 453
0.04 -0.00 0.27 -3.06 15.52 2.11 3.37 0.51 459
0.04 -0.00 0.65 -2.38 15.40 2.08 3.44 0.54 465
0.04 -0.00 1.42 -2.29 14.72 2.01 3.56 0.56 472
0.04 0.00 2.00 -2.13 13.94 1.95 3.64 0.53 478
0.05 -0.00 1.25 -2.08 13.99 1.94 3.72 0.47 484
0.05 -0.01 -0.86 -2.41 13.87 2.00 3.69 0.39 490
0.03 -0.00 -4.84 -1.25 11.80 1.98 3.55 0.27 496
0.04 -0.00 -7.68 0.04 10.05 1.90 3.15 0.04 502
0.05 -0.00 -12.55 2.15 9.19 1.64 2.14 -0.29 508
0.04 -0.00 -19.45 5.45 10.97 1.11 0.52 -1.11 516
0.04 -0.00 -14.30 5.38 12.61 0.33 -1.29 -1.83 522
0.05 -0.00 -8.45 4.31 14.63 -0.28 -2.40 -2.10 528
0.04 -0.00 -4.80 3.09 15.00 -0.64 -2.73 -2.31 534
0.03 -0.00 -2.99 2.66 12.98 -0.82 -2.67 -2.65 540
0.04 -0.00 -1.74 2.12 9.83 -0.89 -2.60 -2.97 546
0.04 -0.00 -1.07 1.63 7.89 -0.88 -2.56 -3.15 552
0.03 -0.00 -0.81 1.83 7.22 -0.80 -2.54 -3.24 559
0.03 -0.00 -0.53 1.84 7.86 -0.65 -2.56 -3.24 565
0.02 -0.00 0.08 2.29 9.37 -0.55 -2.62 -3.11 571
0.03 -0.00 1.13 3.61 10.45 -0.47 -2.68 -2.86 578
0.05 -0.00 2.46 4.00 10.80 -0.51 -2.75 -2.59 584
0.04 -0.00 3.45 4.60 10.79 -0.64 -2.82 -2.24 590
0.04 -0.00 4.51 4.72 10.60 -0.83 -2.86 -1.90 596
0.04 -0.00 5.42 4.41 10.20 -0.98 -2.85 -1.58 603
0.05 -0.00 6.24 4.09 9.94 -1.11 -2.80 -1.24 609
0.03 -0.00 6.52 3.59 9.66 -1.20 -2.70 -0.93 615
0.03 -0.00 6.60 3.07 9.13 -1.26 -2.52 -0.69 621
0.02 -0.00 6.73 2.45 8.67 -1.28 -2.33 -0.43 627
0.02 0.00 6.68 1.92 8.30 -1.25 -2.14 -0.20 633
0.04 -0.00 6.60 1.48 8.42 -1.22 -1.94 0.02 640
0.03 -0.00 6.49 1.30 8.72 -1.18 -1.77 0.24 646
0.02 -0.00 6.48 1.09 9.13 -1.15 -1.56 0.40 652
0.02 -0.00 6.39 0.88 9.29 -1.15 -1.36 0.60 658
0.02 -0.00 6.21 0.66 9.50 -1.20 -1.16 0.78 664
0.04 -0.00 6.12 0.33 9.82 -1.20 -1.00 0.95 671
0.03 -0.00 5.80 -0.61 9.85 -1.23 -0.83 1.12 677
0.03 -0.00 5.48 -0.41 9.81 -1.26 -0.69 1.24 684
0.01 -0.00 5.02 -0.82 9.41 -1.27 -0.58 1.37 690
0.03 -0.00 4.71 -1.07 9.34 -1.27 -0.50 1.48 696
0.04 -0.00 4.52 -1.24 9.34 -1.27 -0.43 1.56 702
0.03 -0.00 4.26 -1.32 9.50 -1.27 -0.37 1.61 708
0.03 -0.00 3.96 -1.52 9.73 -1.27 -0.31 1.65 714
0.02 -0.00 3.77 -1.71 9.91 -1.28 -0.27 1.66 720
0.02 -0.00 3.66 -1.88 10.28 -1.29 -0.24 1.64 727
0.04 -0.00 3.62 -2.01 10.33 -1.32 -0.23 1.59 733
0.02 -0.00 3.59 -2.25 10.24 -1.35 -0.23 1.52 739
0.02 -0.00 3.67 -2.49 10.16 -1.36 -0.25 1.44 745
0.03 0.00 3.91 -2.79 10.02 -1.36 -0.26 1.33 752
0.03 -0.00 4.17 -3.01 9.79 -1.35 -0.26 1.22 758
0.03 -0.00 4.52 -3.05 9.69 -1.32 -0.23 1.10 764
0.02 -0.00 4.98 -3.09 9.90 -1.30 -0.19 0.99 771
0.02 -0.00 5.43 -3.25 10.48 -1.29 -0.15 0.87 777
0.04 -0.00 5.95 -3.43 10.92 -1.30 -0.08 0.79 783
0.02 -0.00 6.33 -3.66 11.05 -1.35 -0.00 0.71 789
0.03 -0.00 6.60 -4.09 10.95 -1.40 0.06 0.63 795
0.02 -0.00 6.85 -4.58 10.59 -1.44 0.12 0.56 801
0.03 -0.00 6.96 -5.14 10.13 -1.45 0.15 0.48 807
0.03 -0.00 7.02 -6.12 9.67 -1.44 0.20 0.40 814
0.03 -0.00 7.15 -5.78 9.41 -1.40 0.25 0.33 820
0.02 -0.00 7.19 -5.86 9.16 -1.35 0.33 0.25 826
0.02 -0.00 7.17 -5.81 8.98 -1.30 0.39 0.19 833
0.02 -0.00 7.22 -5.53 8.95 -1.24 0.50 0.14 839
0.04 -0.00 7.24 -5.23 8.95 -1.19 0.56 0.11 845
0.03 -0.00 7.07 -4.95 8.95 -1.15 0.69 0.11 851
0.02 -0.00 6.74 -4.81 8.96 -1.11 0.86 0.14 858
0.02 -0.00 5.97 -4.93 8.91 -1.08 1.02 0.21 864
0.03 -0.00 5.31 -5.15 8.90 -1.03 1.11 0.29 870
0.03 -0.00 4.70 -5.43 8.74 -0.96 1.16 0.39 876
0.02 -0.00 4.23 -5.69 8.44 -0.88 1.12 0.43 882
0.02 -0.00 4.18 -6.13 8.02 -0.79 1.03 0.46 888
0.03 -0.00 -11.26 -20.02 49.96 0.43 1.89 0.92 894
0.05 -0.00 -1.81 -6.26 -4.72 1.00 1.34 1.10 901
0.02 -0.00 5.97 -11.77 -7.14 0.97 1.38 1.01 907
0.02 -0.00 2.62 -20.99 8.18 1.22 1.09 1.12 913
0.03 0.00 1.40 -18.91 7.03 1.79 0.72 1.36 920
0.04 0.01 -8.57 -29.48 1.99 2.19 -0.41 1.65 926
0.03 0.08 -8.55 -19.14 12.27 3.10 -1.55 1.82 932
0.03 0.14 -12.77 -5.20 19.38 3.65 -1.60 1.51 939
0.03 0.13 -12.68 -0.37 58.66 1.34 -2.00 0.46 945
0.04 0.18 0.14 -1.40 4.88 -0.07 0.09 0.01 951
0.04 0.22 -0.85 -1.55 9.46 -0.18 -0.05 -0.01 958
0.03 0.25 -3.11 -0.25 11.76 -0.21 0.07 -0.31 964
0.04 0.26 0.31 -1.02 9.32 -0.25 0.09 -0.45 970
0.03 0.26 6.82 -0.36 8.59 -0.06 -0.07 -0.23 976
0.03 0.29 2.44 -0.43 9.64 0.00 -0.02 0.08 983
0.04 0.24 1.22 -0.80 9.93 -0.01 -0.02 0.12 989
0.05 0.27 0.17 -0.79 9.96 -0.02 -0.00 0.12 995
0.05 0.34 -0.08 -0.56 10.28 -0.02 0.04 0.08 1001
0.04 0.38 0.14 -1.19 9.92 -0.01 0.10 0.07 1007
0.06 0.31 0.67 -0.80 10.01 -0.01 0.13 0.08 1014
0.04 0.33 0.91 -0.98 10.06 -0.02 0.13 0.11 1020
0.04 0.33 1.04 -1.16 10.02 -0.01 0.14 0.13 1027
0.06 0.32 0.79 -0.91 10.10 -0.02 0.13 0.13 1033
0.05 0.31 0.87 -0.72 9.94 -0.03 0.13 0.12 1039
